outer_fold,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_bootstrap,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1,0,25,23.340027411778767,0.6319415298811508,0.035215298334757485,0.0018571544306921184,2,2,0.02,80,entropy,False,25,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.02, 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.8050388055981522,0.7893706980387988,0.7925345472749137,0.7956480169706216,0.006764745315848216,88
1,0,25,5.875816822052002,0.07949651233930936,0.03821428616841634,0.001966526450782227,20,1,sqrt,20,gini,True,25,"{'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'bootstrap': True, 'n_estimators': 25}",0.7646782962412028,0.7908723449474726,0.7727867642088713,0.7761124684658488,0.010949194141131071,127
1,0,25,0.9590310255686442,0.0006461449158786541,0.03555957476298014,0.0009587970938230477,2,4,log2,20,gini,True,25,"{'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'bootstrap': True, 'n_estimators': 25}",0.7358271296495568,0.7555998254464876,0.7115814004372132,0.7343361185110858,0.018001347555772273,149
1,0,25,38.88563028971354,0.4791959852136736,0.036152044932047524,0.0022380273100394347,5,1,0.05,80,gini,False,25,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.05, 'max_depth': 80, 'criterion': 'gini', 'bootstrap': False, 'n_estimators': 25}",0.8141416145254852,0.81216423074399,0.8008352090296273,0.8090470180997009,0.005862472050101734,66
1,0,25,1.6386382579803467,0.015183810620568738,0.03701345125834147,0.0006356132102119916,5,1,log2,80,entropy,True,25,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': True, 'n_estimators': 25}",0.7484932936186102,0.7372477489959525,0.7202563508980296,0.7353324645041974,0.011606965424968016,148
1,0,25,159.8118201891581,1.7668464531648107,0.03933286666870117,0.0017486644209739554,2,1,0.2,,gini,False,25,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.2, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False, 'n_estimators': 25}",0.8106736198786921,0.8163013119815149,0.8142509634295898,0.8137419650965989,0.002325516297984033,56
1,0,25,29.405484278996784,0.7854787230056582,0.03406262397766113,0.0033058382240469353,5,8,0.05,40,entropy,True,25,"{'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': 0.05, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': True, 'n_estimators': 25}",0.7935173325192663,0.7961532133898425,0.7825435031360477,0.7907380163483855,0.00589347108142285,106
1,0,25,89.1199586391449,1.2991890136838538,0.04034996032714844,0.004406540676655594,10,2,0.2,60,gini,True,25,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.2, 'max_depth': 60, 'criterion': 'gini', 'bootstrap': True, 'n_estimators': 25}",0.7982215886330557,0.8020557083822089,0.7996559508406124,0.7999777492852923,0.0015817256909170193,81
1,0,25,23.043413798014324,0.5758771085892211,0.03241252899169922,0.0012332803988169393,10,2,0.05,60,gini,True,25,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.05, 'max_depth': 60, 'criterion': 'gini', 'bootstrap': True, 'n_estimators': 25}",0.7933393110640152,0.7967302476166432,0.7935566124729754,0.7945420570512113,0.001549825460832733,94
1,0,25,67.83637261390686,0.3551247494512316,0.032608350118001304,0.0012892464965087666,2,1,0.1,60,entropy,True,25,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_depth': 60, 'criterion': 'entropy', 'bootstrap': True, 'n_estimators': 25}",0.7873784300795336,0.7894531543922159,0.7985422117062068,0.7917912653926521,0.004848200858035352,104
1,0,25,110.24018581708272,0.8693718080748645,0.029644012451171875,0.0025788546756547507,10,2,0.1,40,entropy,False,25,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.8143904420614843,0.8201335585157933,0.8169946484604441,0.817172883012574,0.002348002316668143,49
