fold,best_n_estimators,best_criterion,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_inner_macro_f1,outer_accuracy,outer_macro_f1,tuning_time_minutes
1,675,gini,40,2,2,0.05,False,0.8418988000245204,0.8633928571428572,0.8629910839263352,312.74704667833333
2,675,gini,80,5,1,0.05,False,0.8440434562692184,0.8589285714285714,0.8573141208252153,362.3883890316667
3,675,gini,80,5,1,0.05,False,0.8427357327299908,0.8776785714285714,0.8771410157004487,312.1439691116666
4,675,gini,80,5,1,0.05,False,0.8502544005978551,0.8616071428571429,0.8606044642283389,349.9050983466668
5,675,gini,60,5,2,0.02,False,0.8411013820107245,0.8660714285714286,0.8654746799441355,352.4621101083333
