stage,n_estimators,rank,candidate_id,mean_macro_f1,sd_macro_f1,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
2,75,1,81,0.8366670547386982,0.004532921224461743,65.60781340009999,3,entropy,80.0,2,1,0.05,False
2,75,2,5,0.8358654300180568,0.006455724630135186,122.1662583000143,3,entropy,80.0,10,4,0.1,False
2,75,3,79,0.8358654300180568,0.006455724630135186,123.5537914999295,3,entropy,60.0,10,4,0.1,False
2,75,4,30,0.8336619882874604,0.004458765238064594,127.3831164999865,3,entropy,40.0,2,2,0.1,False
2,75,5,51,0.8336619882874604,0.004458765238064594,128.36063670000294,3,entropy,,2,2,0.1,False
2,75,6,16,0.8336010684675469,0.010412899784298277,129.06247049995,3,entropy,,2,1,0.1,False
2,75,7,29,0.8328166240038953,0.005801794856733009,254.72471999994013,3,entropy,20.0,10,1,0.2,False
2,75,8,93,0.8328099157804795,0.005808099942656346,252.88570650003385,3,entropy,60.0,10,1,0.2,False
2,75,9,87,0.8324814755300901,0.004915762937875248,166.63312179991044,3,gini,60.0,2,2,0.2,False
2,75,10,31,0.830967021987198,0.00378485282159165,165.366454300005,3,gini,20.0,5,2,0.2,False
2,75,11,32,0.8304690479114791,0.003995785750020954,80.74397829995723,3,gini,,10,2,0.1,False
2,75,12,15,0.8302592209650038,0.0012443456899577136,127.20678279997082,3,entropy,,10,1,0.1,False
