repeat,outer_fold,stage,n_estimators,candidate_id,inner_fold,macro_f1,fit_seconds
3,5,1,25,1,1,0.868827040322702,0.35725879995152354
3,5,1,25,1,2,0.8515396058896945,0.32919349998701364
3,5,1,25,1,3,0.8590712780270895,0.38268859998788685
3,5,1,25,2,1,0.9064448671280528,3.2788714000489563
3,5,1,25,2,2,0.8862971328968542,3.484037599992007
3,5,1,25,2,3,0.8817166898466597,3.420688899932429
3,5,1,25,3,1,0.8843334129199159,2.8408002000069246
3,5,1,25,3,2,0.8660453832812641,2.65391210000962
3,5,1,25,3,3,0.8683662316577132,2.798659599968232
3,5,1,25,4,1,0.8833954334414227,0.7200939999893308
3,5,1,25,4,2,0.853785881998733,0.5948111999314278
3,5,1,25,4,3,0.8701729770723204,0.7473458000458777
3,5,1,25,5,1,0.8587865546984642,0.47770419996231794
3,5,1,25,5,2,0.8493727278109158,0.4189583999104798
3,5,1,25,5,3,0.8499562392071576,0.45635170000605285
3,5,1,25,6,1,0.8809297462096717,1.1519961999729276
3,5,1,25,6,2,0.860364088561324,1.094043100019917
3,5,1,25,6,3,0.8632311846175917,1.0894453000510111
3,5,1,25,7,1,0.8728702357474544,0.8770029000006616
3,5,1,25,7,2,0.848856013091345,0.8826726999832317
3,5,1,25,7,3,0.8599728477000276,0.8821440000319853
3,5,1,25,8,1,0.8921691471100478,0.8692176999757066
3,5,1,25,8,2,0.8598522146110222,0.766749499947764
3,5,1,25,8,3,0.8775703992736135,0.9322277000173926
3,5,1,25,9,1,0.887765200927545,1.2609736999729648
3,5,1,25,9,2,0.8642208723395911,1.2437541999388486
3,5,1,25,9,3,0.8752142828303888,1.186407700064592
3,5,1,25,10,1,0.8847573736282379,1.2150126000633463
3,5,1,25,10,2,0.8586668200342609,1.150900000007823
3,5,1,25,10,3,0.8786184501215989,1.261946399929002
3,5,1,25,11,1,0.8852569742534555,0.8269054000265896
3,5,1,25,11,2,0.8630596659621411,0.8423673000652343
3,5,1,25,11,3,0.8762646808543179,0.7552918000146747
3,5,1,25,12,1,0.8509656300465119,0.3228029999881983
3,5,1,25,12,2,0.8411621647772493,0.35506440000608563
3,5,1,25,12,3,0.8381517194406394,0.3717644000425935
3,5,1,25,13,1,0.908886443817241,8.335185800096951
3,5,1,25,13,2,0.8725098174313595,8.24895070004277
3,5,1,25,13,3,0.8824114188634098,7.925505199935287
3,5,1,25,14,1,0.8961553750448524,1.7383373000193387
