,precision,recall,f1-score,support
glioma,0.9233226837060703,0.7225,0.8106591865357644,400.0
meningioma,0.8181818181818182,0.9,0.8571428571428571,400.0
notumor,0.9170506912442397,1.0,0.9567307692307693,398.0
pituitary,0.9416058394160584,0.9675,0.9543773119605425,400.0
accuracy,0.8973717146433041,0.8973717146433041,0.8973717146433041,0.8973717146433041
macro avg,0.9000402581370467,0.8975,0.8947275312174834,1598.0
weighted avg,0.9000189684835959,0.8973717146433041,0.8946499301686557,1598.0
