stage_epoch,stage,accuracy,loss
1,frozen_head,0.7736607193946838,0.5918676257133484
2,frozen_head,0.8638392686843872,0.38342297077178955
3,frozen_head,0.8736607432365417,0.3355977535247803
4,frozen_head,0.8812500238418579,0.3062628507614136
5,frozen_head,0.8970982432365417,0.28109994530677795
6,frozen_head,0.8948660492897034,0.2774694859981537
7,frozen_head,0.8986607193946838,0.27052757143974304
8,frozen_head,0.9006696343421936,0.26584935188293457
9,frozen_head,0.9049107432365417,0.25047001242637634
1,fine_tuning,0.9142857193946838,0.2320474088191986
2,fine_tuning,0.9225446581840515,0.21120613813400269
3,fine_tuning,0.9323660731315613,0.19368577003479004
4,fine_tuning,0.9305803775787354,0.18822379410266876
5,fine_tuning,0.9368303418159485,0.1717386543750763
6,fine_tuning,0.9426339268684387,0.16141687333583832
7,fine_tuning,0.9424107074737549,0.1541789025068283
8,fine_tuning,0.9464285969734192,0.1456536501646042
9,fine_tuning,0.9549106955528259,0.13262401521205902
10,fine_tuning,0.9558035731315613,0.12808673083782196
11,fine_tuning,0.9551339149475098,0.12406428158283234
12,fine_tuning,0.9589285850524902,0.1145116537809372
13,fine_tuning,0.9627231955528259,0.11023285984992981
14,fine_tuning,0.9609375,0.10522869974374771
15,fine_tuning,0.9651785492897034,0.09728315472602844
16,fine_tuning,0.9691964387893677,0.09290333837270737
17,fine_tuning,0.9709821343421936,0.08373799175024033
18,fine_tuning,0.9729910492897034,0.08353711664676666
19,fine_tuning,0.9756696224212646,0.08095705509185791
20,fine_tuning,0.9758928418159485,0.07440271228551865
