stage,n_estimators,rank,candidate_id,mean_macro_f1,sd_macro_f1,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,25,1,59,0.8302004398481134,0.0179690569713886,29.962921100028325,3,gini,20.0,10,2,0.1,False
1,25,2,85,0.8265898455046212,0.0083355084760175,94.05125079996652,3,entropy,80.0,2,1,0.2,False
1,25,3,73,0.8255455353812158,0.0092673140386249,16.503624100005254,3,gini,40.0,5,1,0.05,False
1,25,4,15,0.825159644183462,0.0171326996011834,62.41310840001097,3,gini,,5,2,0.2,False
1,25,5,94,0.8233003429675501,0.0167520148133608,64.32083310006419,3,gini,80.0,10,1,0.2,False
1,25,6,39,0.8225444668246148,0.0057759679291146,91.85611259995494,3,entropy,20.0,2,2,0.2,False
1,25,7,26,0.8220891033810167,0.0129310049043724,84.2610740000382,3,entropy,60.0,5,8,0.2,False
1,25,8,27,0.821253532489123,0.0081007545464508,28.52711960003944,3,gini,80.0,2,4,0.1,False
1,25,9,40,0.8205869019879083,0.0085772212234339,15.510207500017714,3,gini,20.0,10,2,0.05,False
1,25,10,36,0.8202906807738176,0.0081495150789608,30.97893420001492,3,gini,60.0,5,2,0.1,False
1,25,11,9,0.820247600209811,0.008699634887974,46.96996079996461,3,entropy,60.0,20,1,0.1,False
1,25,12,56,0.8195367056684916,0.0137832352225796,44.76604879996739,3,entropy,20.0,20,4,0.1,False
1,25,13,42,0.8190972057304959,0.0122579907079042,47.596264100051485,3,entropy,40.0,2,2,0.1,False
1,25,14,11,0.8184936476104752,0.0157976888242288,46.59544419997837,3,entropy,60.0,10,2,0.1,False
1,25,15,37,0.8182991474622868,0.0086555198038193,30.8784451999818,3,gini,60.0,20,1,0.1,False
1,25,16,60,0.8179736273874023,0.0037862777526938,14.204613999987489,3,gini,60.0,2,4,0.05,False
1,25,17,86,0.8179736273874023,0.0037862777526938,14.550301199953536,3,gini,,5,4,0.05,False
1,25,18,74,0.8172980129448469,0.0055548443744943,52.03613139997469,3,gini,20.0,20,8,0.2,False
1,25,19,41,0.8169625412633316,0.0003691211079792,25.057014799967877,3,entropy,,2,1,0.05,False
1,25,20,81,0.8169625412633316,0.0003691211079792,24.72635519999312,3,entropy,80.0,2,1,0.05,False
1,25,21,44,0.8161135904184137,0.0159059275718988,48.175508000014815,3,entropy,80.0,10,1,0.1,False
1,25,22,20,0.8159763025322916,0.0043865893345642,15.865347300015856,3,gini,20.0,5,1,0.05,False
1,25,23,84,0.8158388278475946,0.0071131828843021,89.58043239999097,3,entropy,80.0,2,4,0.2,False
1,25,24,99,0.8158388278475946,0.0071131828843021,92.19507939997128,3,entropy,60.0,2,4,0.2,False
1,25,25,82,0.8156122919817044,0.0067227665804404,89.77489790000254,3,entropy,20.0,5,4,0.2,False
1,25,26,71,0.8148350918761799,0.0095480522439351,24.248599599988665,3,entropy,,20,1,0.05,False
1,25,27,64,0.8145987385971062,0.0077325949722085,6.397430199955124,3,gini,20.0,20,2,0.02,False
1,25,28,65,0.8114038001468601,0.0146561999187658,23.935910900007,3,entropy,80.0,20,4,0.05,False
1,25,29,4,0.8112576228542139,0.0088407772778205,57.204285000043456,3,entropy,40.0,2,1,0.2,True
1,25,30,54,0.8092264366929269,0.0076739003491991,37.38549830002012,3,gini,20.0,5,1,0.2,True
1,25,31,52,0.8086141244346842,0.0134083502831405,5.678483100025915,3,gini,,10,8,0.02,False
1,25,32,93,0.8086141244346842,0.0134083502831405,5.500685700040776,3,gini,40.0,10,8,0.02,False
1,25,33,5,0.8082994325868151,0.0069709769439814,22.51136709999992,3,entropy,40.0,2,8,0.05,False
1,25,34,91,0.8069116155581266,0.0129712614575979,35.37795869994443,3,gini,20.0,20,2,0.2,True
1,25,35,33,0.8068933070496023,0.0099267530517403,6.212929199973587,3,gini,20.0,20,1,0.02,False
1,25,36,61,0.8065146350611894,0.0013078260907114,8.936499299947172,3,gini,60.0,10,4,0.05,True
1,25,37,92,0.8061708852683752,0.0091423467749491,16.92960969998967,3,gini,40.0,20,4,0.1,True
1,25,38,45,0.8053768618681444,0.0113423354008279,57.91372759995284,3,entropy,,5,1,0.2,True
1,25,39,77,0.8042723424096146,0.0124220202066343,9.2749794999836,3,gini,,20,2,0.05,True
1,25,40,19,0.8040613435090725,0.0100776045369151,15.060180300031789,3,entropy,80.0,20,1,0.05,True
1,25,41,98,0.803893162833686,0.0093707626916895,33.27530490001664,3,gini,40.0,20,4,0.2,True
1,25,42,24,0.8038806615862487,0.007688452885794,55.38101469993126,3,entropy,,20,2,0.2,True
1,25,43,34,0.8026730034697686,0.0101068550109888,33.982745600049384,3,gini,,5,4,0.2,True
1,25,44,57,0.8026730034697686,0.0101068550109888,33.96027449995745,3,gini,40.0,2,4,0.2,True
1,25,45,23,0.8025823580066284,0.014700413151641,29.11574089998612,3,entropy,60.0,5,1,0.1,True
1,25,46,14,0.8016549341725255,0.0116155003552034,10.638767900003586,3,entropy,20.0,2,1,0.02,False
1,25,47,80,0.8016308690049961,0.0033546008552642,19.02750449994346,3,gini,60.0,10,1,0.1,True
1,25,48,83,0.801259847599385,0.0029788351348457,7.155902200029232,3,entropy,80.0,10,2,sqrt,False
1,25,49,25,0.8009079150648996,0.0097679841364225,33.585399999981746,3,gini,80.0,10,4,0.2,True
1,25,50,96,0.8007530359084504,0.0030581893039349,27.851803299970925,3,entropy,,20,1,0.1,True
1,25,51,31,0.800368086152638,0.0075904581991926,9.921106799971312,3,gini,60.0,5,1,0.05,True
1,25,52,79,0.7998197669306685,0.0108020272383516,14.643407900002783,3,entropy,80.0,20,2,0.05,True
1,25,53,6,0.79954228043587,0.0152363406102916,29.77929860004224,3,gini,40.0,20,8,0.2,True
1,25,54,66,0.799348621052801,0.0064330891410693,28.0156593999709,3,entropy,,10,2,0.1,True
1,25,55,72,0.7992016314771485,0.0017662704780468,9.30408760003047,3,entropy,60.0,20,8,0.02,False
1,25,56,87,0.7983598619525595,0.01466493329987,55.17778959998395,3,entropy,60.0,20,4,0.2,True
1,25,57,63,0.7978531164013013,0.0111959526533278,7.81809069996234,3,gini,60.0,2,8,0.05,True
1,25,58,22,0.7976759438512865,0.0061502996247059,4.015471400052775,3,gini,40.0,20,4,sqrt,False
1,25,59,67,0.7976759438512865,0.0061502996247059,4.045465400035027,3,gini,60.0,20,4,sqrt,False
1,25,60,78,0.7973188154042982,0.0087435110016092,9.47654689999763,3,entropy,80.0,2,8,0.02,False
1,25,61,38,0.7970352947689184,0.0063720465604453,14.993480099947192,3,entropy,40.0,5,2,0.05,True
1,25,62,68,0.7957320760697263,0.0065449250405978,9.43685309990542,3,gini,20.0,10,2,0.05,True
1,25,63,21,0.7952949318117201,0.0082943671528257,15.861203800013756,3,entropy,20.0,2,1,0.05,True
1,25,64,51,0.7949502482383762,0.0052419170355691,3.958354899950791,3,gini,80.0,20,1,0.02,True
1,25,65,76,0.7918725790891216,0.0134804260891679,15.100026100000832,3,entropy,20.0,10,1,0.05,True
1,25,66,1,0.7916924129210546,0.0060462604091416,3.88883450004505,3,gini,,5,4,0.02,True
1,25,67,10,0.7916781955254223,0.0024407547984672,6.803330900031142,3,entropy,60.0,10,4,sqrt,False
1,25,68,70,0.790664626652509,0.0172375014461012,4.114811000006739,3,gini,40.0,2,2,0.02,True
1,25,69,53,0.7855650634604016,0.0083365176347704,4.277273099985905,3,gini,40.0,10,1,0.02,True
1,25,70,47,0.7837721192528156,0.0042567576526117,4.081744200026151,3,gini,40.0,10,2,0.02,True
1,25,71,2,0.7822531412289037,0.0068355882724134,2.5334110999829136,3,gini,,2,8,sqrt,True
1,25,72,29,0.7822531412289037,0.0068355882724134,2.497800300072413,3,gini,20.0,10,8,sqrt,True
1,25,73,7,0.7818945259065996,0.0070534043035113,2.686462900019251,3,gini,60.0,5,4,sqrt,True
1,25,74,62,0.7818945259065996,0.0070534043035113,2.738579199940432,3,gini,,2,4,sqrt,True
1,25,75,28,0.7812252810990725,0.0154986319216335,5.666865899926052,3,entropy,20.0,2,8,0.02,True
1,25,76,35,0.7806610372147759,0.0072798024986827,6.372886000026483,3,entropy,40.0,10,2,0.02,True
1,25,77,46,0.7797633281531776,0.0044750669577451,4.177711000025738,3,entropy,60.0,20,2,sqrt,True
