mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3547.1873875459037,39.764624057501486,1.4626411596934001,1.1568489276630436,800,2,1,0.2,20,gini,True,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.2, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': True}",0.8366905671305243,0.8180804391663955,0.8198285794538114,0.824866528583577,0.008391261895006882,45
164.87933691342673,1.2540089053573877,0.28981741269429523,0.008049530900124986,500,5,1,sqrt,80,entropy,True,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': True}",0.8278003946119156,0.8167263311974646,0.8154414409932468,0.8199893889342089,0.005548068311409358,62
566.1280315717062,23.16952584116758,0.38341625531514484,0.04238237975999636,500,2,2,0.05,,gini,True,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.05, 'max_depth': None, 'criterion': 'gini', 'bootstrap': True}",0.8286855036235525,0.8231287248894228,0.8294468612582881,0.8270870299237544,0.0028161499037520844,38
1540.9453731377919,9.872287184369684,0.36962660153706867,0.020596075399912345,500,2,2,0.05,80,entropy,False,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.05, 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': False}",0.8379686205506284,0.8391615847644197,0.8380125692693525,0.8383809248614669,0.0005523014186282265,8
602.103413661321,2.8058174969714753,0.6196571985880533,0.025856986392424768,800,10,2,0.02,20,entropy,True,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.02, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True}",0.8270221327236106,0.8194055205831883,0.8174066232354029,0.821278092180734,0.00414281699414009,56
325.87964113553363,4.612394532758331,0.2082707087198893,0.019377787340951108,300,20,4,0.05,,gini,True,"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 0.05, 'max_depth': None, 'criterion': 'gini', 'bootstrap': True}",0.8267551832410346,0.8172886548771292,0.8185515734942335,0.8208651372041323,0.004196683023212287,59
848.3298981984457,2.7994788771155776,0.2232817808787028,0.008932860490848406,300,10,8,0.05,,entropy,False,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 0.05, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.837012381227833,0.8227853475501592,0.8264651401746443,0.8287542896508788,0.0060294983655261765,32
597.6384410858154,3.5564035280143345,0.5501968860626221,0.05350756844905517,800,2,8,sqrt,,entropy,False,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.8309842329564631,0.8193486373632916,0.8181391721549612,0.8228240141582387,0.005791233584692879,54
249.72746682167053,1.2042216898313676,0.3816541830698649,0.007816842533342016,500,10,2,sqrt,80,entropy,True,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': True}",0.8284513476033021,0.8251930953414182,0.8145778277459195,0.8227407568968799,0.005923349907679924,55
522.9009398619334,1.5073672579810244,0.49849724769592285,0.06197005161175243,800,20,8,0.02,20,entropy,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 0.02, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True}",0.8140506120147184,0.8132562478401417,0.8011705016798457,0.8094924538449019,0.005893438130020867,86
1641.9481391906738,8.289315103717533,0.19049668312072754,0.027620553352590442,300,10,1,0.05,40,entropy,False,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.05, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': False}",0.8442225425818654,0.8254516293265399,0.8313387894071588,0.833670987105188,0.007838628948430444,20
624.5181629657745,355.8034855165506,0.6218076546986898,0.011016232589161276,800,5,4,sqrt,,gini,False,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}",0.8336863037241194,0.8304084396243668,0.826204942734317,0.8300998953609344,0.003062035296640376,27
391.80128661791485,2.2207650220986226,0.5700983206431071,0.02963942192213584,800,5,1,0.02,,gini,True,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.02, 'max_depth': None, 'criterion': 'gini', 'bootstrap': True}",0.8341803337588649,0.8324720298567492,0.8303591798575879,0.832337181157734,0.0015628909991915005,25
59.706225872039795,0.6540634383976207,0.6010297934214274,0.03210993165700429,800,10,4,log2,60,entropy,True,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 60, 'criterion': 'entropy', 'bootstrap': True}",0.7862638313765369,0.8035872920943997,0.7854438284452181,0.7917649839720515,0.008366334450508467,98
1497.8350378672283,3.9429602812730704,0.4898247718811035,0.03265820541454538,800,2,2,0.05,80,entropy,True,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.05, 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': True}",0.8365095364581892,0.8244436796618946,0.8255271197949965,0.82882677863836,0.00545050679106158,30
1893.5455361207325,13.784059516710741,0.34010807673136395,0.003147531229943333,500,10,4,0.1,40,gini,False,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.1, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False}",0.8459630676889984,0.8277597807743216,0.8271655147949122,0.8336294544194107,0.008724555393691352,21
20.004783709843952,0.23077364069909845,0.3598151206970215,0.020853909615932215,500,2,8,log2,20,gini,True,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'bootstrap': True}",0.7928471612711228,0.7931981949832836,0.7755553802075006,0.7872002454873023,0.008235410198458729,99
1310.3870131174724,85.39282757693029,0.3907965024312337,0.07700526754726744,800,20,4,0.05,80,entropy,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 0.05, 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': True}",0.8302310184807744,0.816261083922442,0.8168281942231804,0.8211067655421322,0.006455973837696914,58
906.2699842453003,12.2348123479099,0.12793072064717612,0.0024171037295668604,300,20,4,0.1,80,gini,False,"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 0.1, 'max_depth': 80, 'criterion': 'gini', 'bootstrap': False}",0.8385647548596782,0.8209803945677866,0.828128584113193,0.8292245778468859,0.007220495523945892,29
