stage,n_estimators,rank,candidate_id,mean_macro_f1,sd_macro_f1,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
3,225,1,48,0.8514736812762792,0.00020714737736522972,48.774050400001215,3,gini,20.0,2,1,0.02,False
3,225,2,55,0.8496678066268238,0.0007939137323468286,119.80454630000168,3,gini,40.0,5,2,0.05,False
3,225,3,88,0.8491076161893657,0.007890805834729862,109.2645268999986,3,gini,,5,4,0.05,False
3,225,4,66,0.8457555086506687,0.0004156472319733369,376.36539619999894,3,entropy,,5,2,0.1,False
3,225,5,72,0.8456891676737142,0.006732209004756274,186.71858000000066,3,entropy,40.0,2,4,0.05,False
3,225,6,67,0.8453500382497506,0.008250730198809982,188.85725700000148,3,entropy,80.0,2,1,0.05,False
3,225,7,23,0.8448287724640439,0.005228259386930727,79.66731130000153,3,entropy,,5,1,0.02,False
3,225,8,11,0.843856618795722,0.00441066716092841,77.34423049999714,3,entropy,60.0,5,2,0.02,False
3,225,9,5,0.841426798919346,0.012580005072558869,502.7854554000005,3,gini,,5,1,0.2,False
3,225,10,73,0.841418994443116,0.012578055788761736,506.7830525999998,3,gini,60.0,5,1,0.2,False
3,225,11,95,0.8411945582205353,0.005574338486160248,749.4313162999988,3,entropy,40.0,10,1,0.2,False
3,225,12,46,0.8373692073969314,0.013344820361970282,441.6184983000003,3,gini,20.0,2,4,0.2,False
