iter,n_resources,rank_test_score,candidate_id,mean_test_score,std_test_score,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
2,225,1,7,0.9043212916425594,0.01395098792539503,153.00105580000672,3,gini,80.0,10,2,0.2,False
2,225,2,25,0.9039581454529569,0.012744312624536768,58.5555171999149,3,entropy,,5,1,0.05,False
2,225,3,66,0.90336185445145,0.009684149907528887,114.1329737000633,3,entropy,20.0,10,1,0.1,False
2,225,4,97,0.9031679740887272,0.009831999293158446,142.70582279993687,3,gini,80.0,10,4,0.2,False
2,225,5,29,0.9028962865761269,0.012320613640339782,213.72600300004706,3,entropy,20.0,5,4,0.2,False
2,225,6,44,0.9028192386773535,0.011397849228764073,75.09334969997872,3,gini,60.0,10,2,0.1,False
2,225,7,61,0.9020642739740882,0.008238169748157241,221.1817584000528,3,entropy,60.0,10,2,0.2,False
2,225,8,85,0.8992760335480373,0.012976805826768,57.288252600003034,3,entropy,40.0,2,4,0.05,False
2,225,9,94,0.8992760335480373,0.012976805826768,56.34262310003396,3,entropy,80.0,5,4,0.05,False
2,225,10,87,0.8969557306666961,0.01456153845736584,55.799011799972504,3,entropy,40.0,10,4,0.05,False
2,225,11,95,0.8968065921195402,0.011127723844337625,214.87865249998868,3,entropy,20.0,20,2,0.2,False
2,225,12,45,0.8963996679219037,0.011437364996783732,212.5677844999591,3,entropy,20.0,20,4,0.2,False
