mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm_classifier__C,param_svm_classifier__gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
47.766365925470986,0.5459142489431124,34.86948879559835,3.850809267985932,0.01,scale,"{'svm_classifier__C': 0.01, 'svm_classifier__gamma': 'scale'}",0.32305194805194803,0.5366488887597187,0.47887096024180253,0.44619059901782315,0.09021056027327422,17
44.010972102483116,2.8550461990227864,28.50833749771118,0.65883974210502,0.01,1e-05,"{'svm_classifier__C': 0.01, 'svm_classifier__gamma': 1e-05}",0.3124828922733295,0.4795983008245218,0.3736807901999162,0.3885873277659225,0.06903401862107816,18
42.86927676200867,0.12117199085773488,28.203853050867718,0.2534715430848767,0.01,0.0001,"{'svm_classifier__C': 0.01, 'svm_classifier__gamma': 0.0001}",0.32001666887934976,0.5193158288009705,0.5975819301878318,0.47897147595605066,0.11685138332134547,16
43.16313672065735,0.09418501667320744,28.30902949968974,0.043359323753496395,0.01,0.001,"{'svm_classifier__C': 0.01, 'svm_classifier__gamma': 0.001}",0.1481969991446272,0.1500969866885485,0.14259322599141508,0.14696240394153026,0.0031853597532663478,22
42.980836629867554,0.04350091157471481,29.408875385920208,0.8259285268545241,0.01,0.01,"{'svm_classifier__C': 0.01, 'svm_classifier__gamma': 0.01}",0.14703451952552313,0.12306350481039503,0.1280912753555353,0.13272976656381782,0.0103211461616498,24
33.525919914245605,0.2763528955499849,26.383726119995117,1.2842626832174306,0.1,scale,"{'svm_classifier__C': 0.1, 'svm_classifier__gamma': 'scale'}",0.7364875378745344,0.7251933389386305,0.7348005676841987,0.7321604814991213,0.004974419476978924,10
39.43803358078003,0.0920014616318656,31.060973564783733,1.0803453293133254,0.1,1e-05,"{'svm_classifier__C': 0.1, 'svm_classifier__gamma': 1e-05}",0.3661973608751088,0.4971136994638531,0.6213954579975702,0.494902172778844,0.10419592228566399,15
31.529646317164104,0.04576212185512533,25.858503023783367,0.415662084496886,0.1,0.0001,"{'svm_classifier__C': 0.1, 'svm_classifier__gamma': 0.0001}",0.7209137147899353,0.7268002848442572,0.7250001146970677,0.72423803811042,0.0024628570528348152,11
42.622032483418785,0.0655804087302246,29.09980861345927,0.9290754779042909,0.1,0.001,"{'svm_classifier__C': 0.1, 'svm_classifier__gamma': 0.001}",0.1481969991446272,0.1500969866885485,0.14259322599141508,0.14696240394153026,0.0031853597532663478,22
42.9483163356781,0.27699378336732355,29.472309907277424,0.3591714973036629,0.1,0.01,"{'svm_classifier__C': 0.1, 'svm_classifier__gamma': 0.01}",0.14703451952552313,0.12306350481039503,0.1280912753555353,0.13272976656381782,0.0103211461616498,24
26.58819071451823,0.2173048648766398,23.044567584991455,0.4388004908110861,1.0,scale,"{'svm_classifier__C': 1.0, 'svm_classifier__gamma': 'scale'}",0.852110563432809,0.8763640913598306,0.8628201896017432,0.863764948131461,0.009923972011794143,5
25.46585790316264,0.1728063888976934,24.525230248769123,0.7860171042253857,1.0,1e-05,"{'svm_classifier__C': 1.0, 'svm_classifier__gamma': 1e-05}",0.7667706413567497,0.7720984389194799,0.772512492942756,0.7704605244063286,0.002614611236012593,9
21.450713872909546,0.1641511154279668,23.61796561876933,0.4266911152992336,1.0,0.0001,"{'svm_classifier__C': 1.0, 'svm_classifier__gamma': 0.0001}",0.8429567315673837,0.8626816892317255,0.8519284423041931,0.8525222877011007,0.008063621104755617,6
42.2367909749349,0.06845479448931485,30.841527938842773,0.8889879455995986,1.0,0.001,"{'svm_classifier__C': 1.0, 'svm_classifier__gamma': 0.001}",0.6959190656850245,0.6957907987837092,0.6919735507710331,0.6945611384132556,0.0018304499363326447,14
43.18208694458008,0.8275554182150621,32.84012150764465,2.9126635517060935,1.0,0.01,"{'svm_classifier__C': 1.0, 'svm_classifier__gamma': 0.01}",0.19024656464783546,0.18655400195350608,0.2011511560120659,0.19265057420446915,0.0061969709328360285,21
30.175033648808796,1.0288608160350503,24.22372269630432,0.6423529455548261,10.0,scale,"{'svm_classifier__C': 10.0, 'svm_classifier__gamma': 'scale'}",0.8729113982157535,0.8961046257593627,0.8884242233478234,0.8858134157743133,0.00964688855233755,3
16.28483239809672,0.32001116321278966,18.502479632695515,0.0777505163127617,10.0,1e-05,"{'svm_classifier__C': 10.0, 'svm_classifier__gamma': 1e-05}",0.8421032886782096,0.8563182208564537,0.8484757642345444,0.8489657579230693,0.005813555685872775,8
24.951247533162434,1.0044408157694045,23.402867952982586,0.06421633728554496,10.0,0.0001,"{'svm_classifier__C': 10.0, 'svm_classifier__gamma': 0.0001}",0.8733828880386536,0.8965856562508305,0.8884952671823467,0.8861546038239436,0.009615998540454347,1
41.26535971959432,0.2614084210718221,29.95901123682658,0.16639451328616464,10.0,0.001,"{'svm_classifier__C': 10.0, 'svm_classifier__gamma': 0.001}",0.7162011825781025,0.7080823121865444,0.7031061728762129,0.70912988921362,0.005397090759158307,12
41.58428827921549,0.39979955734080075,30.140575647354126,0.3711371647907944,10.0,0.01,"{'svm_classifier__C': 10.0, 'svm_classifier__gamma': 0.01}",0.19566347295431302,0.18875414754846806,0.2074332708995968,0.1972836304674593,0.007711294533225226,19
29.81167221069336,1.1254451635019838,23.811763366063435,0.966526949813961,100.0,scale,"{'svm_classifier__C': 100.0, 'svm_classifier__gamma': 'scale'}",0.8729113982157535,0.8961046257593627,0.8884242233478234,0.8858134157743133,0.00964688855233755,3
17.40460459391276,0.29922308548182136,18.00026210149129,0.1476541853233592,100.0,1e-05,"{'svm_classifier__C': 100.0, 'svm_classifier__gamma': 1e-05}",0.8432872974673066,0.8614799295707127,0.8501618724588547,0.8516430331656247,0.007500593020640907,7
