stage_epoch,stage,accuracy,loss
1,frozen_head,0.6901785731315613,0.7951897978782654
2,frozen_head,0.8183035850524902,0.5052058696746826
3,frozen_head,0.8450892567634583,0.4281063377857208
4,frozen_head,0.8620535731315613,0.38484296202659607
5,frozen_head,0.8698660731315613,0.3677413761615753
6,frozen_head,0.8787946701049805,0.34699612855911255
7,frozen_head,0.8816964030265808,0.3373989462852478
8,frozen_head,0.8857142925262451,0.3228893280029297
9,frozen_head,0.8892857432365417,0.30767011642456055
10,frozen_head,0.8845981955528259,0.30822163820266724
11,frozen_head,0.8935267925262451,0.29936572909355164
12,frozen_head,0.8986607193946838,0.2795412540435791
13,frozen_head,0.8991071581840515,0.2777307331562042
14,frozen_head,0.903124988079071,0.27237117290496826
15,frozen_head,0.8941964507102966,0.2718566656112671
1,fine_tuning,0.9013392925262451,0.26120778918266296
2,fine_tuning,0.9165178537368774,0.24281461536884308
3,fine_tuning,0.9178571701049805,0.22477146983146667
4,fine_tuning,0.918749988079071,0.21382689476013184
5,fine_tuning,0.9270089268684387,0.1951267272233963
6,fine_tuning,0.9305803775787354,0.18923111259937286
7,fine_tuning,0.9350446462631226,0.17983697354793549
8,fine_tuning,0.9392856955528259,0.16630473732948303
9,fine_tuning,0.9453125,0.15301446616649628
10,fine_tuning,0.9437500238418579,0.1497243493795395
11,fine_tuning,0.9515625238418579,0.1415320336818695
12,fine_tuning,0.9468749761581421,0.14105550944805145
13,fine_tuning,0.9546874761581421,0.12965722382068634
14,fine_tuning,0.9587053656578064,0.12278096377849579
15,fine_tuning,0.9580357074737549,0.11845406144857407
16,fine_tuning,0.9602678418159485,0.11308351159095764
17,fine_tuning,0.9624999761581421,0.10530281811952591
18,fine_tuning,0.9609375,0.1011882945895195
19,fine_tuning,0.9689732193946838,0.09263912588357925
20,fine_tuning,0.9685267806053162,0.09233555197715759
