repeat,outer_fold,stage,n_estimators,candidate_id,inner_fold,macro_f1,fit_seconds
3,5,1,25,1,1,0.7684272225208133,0.42169920000014827
3,5,1,25,1,2,0.7596347819671222,0.37425779999466613
3,5,1,25,1,3,0.7335977064123751,0.42684850000659935
3,5,1,25,2,1,0.8312791206224839,10.589783899995382
3,5,1,25,2,2,0.7973483719542219,10.788423799996963
3,5,1,25,2,3,0.8007417095403014,10.390474899992114
3,5,1,25,3,1,0.8169605713222039,9.040090100010275
3,5,1,25,3,2,0.7822616235386246,9.088281700009247
3,5,1,25,3,3,0.795802855226146,9.017302299995208
3,5,1,25,4,1,0.8119354858654878,1.8463541000091936
3,5,1,25,4,2,0.795346783928907,1.8386105999961728
3,5,1,25,4,3,0.7862649514956758,1.8925921999907587
3,5,1,25,5,1,0.7557864220188837,0.581803699999
3,5,1,25,5,2,0.7452294015443373,0.5096657999965828
3,5,1,25,5,3,0.7486187120778787,0.5467962999973679
3,5,1,25,6,1,0.8020697585037408,1.9770764999993844
3,5,1,25,6,2,0.7895612063262514,2.1480067999946186
3,5,1,25,6,3,0.7761620048285077,2.050626900003408
3,5,1,25,7,1,0.7770567178569693,1.4210018000012496
3,5,1,25,7,2,0.7796500096912982,1.4555428000021493
3,5,1,25,7,3,0.7598102274341619,1.415083699990646
3,5,1,25,8,1,0.8283793551022148,2.3535036999965087
3,5,1,25,8,2,0.8110853616282314,2.162865199992666
3,5,1,25,8,3,0.7914822294118817,2.2745220999931917
3,5,1,25,9,1,0.7972754119877887,2.3292680000013206
3,5,1,25,9,2,0.784428959989547,2.3359272999950917
3,5,1,25,9,3,0.7881889113581846,2.3907103999954415
3,5,1,25,10,1,0.8023985386364989,2.2387483999918913
3,5,1,25,10,2,0.7877783959740994,2.2867381000105524
3,5,1,25,10,3,0.7905846372867295,2.167072399999597
3,5,1,25,11,1,0.8062810022124788,1.9107307999947807
3,5,1,25,11,2,0.807823858168177,2.1397223999956623
3,5,1,25,11,3,0.7907670595850008,2.296745600004215
3,5,1,25,12,1,0.7453310847895447,0.4202759000036167
3,5,1,25,12,2,0.7447201523469255,0.40592540000216104
3,5,1,25,12,3,0.7304205257943546,0.3873312000068836
3,5,1,25,13,1,0.8153059187572695,29.731933700008085
3,5,1,25,13,2,0.7983241879718613,28.94459060000372
3,5,1,25,13,3,0.8029675087442029,29.66392600000836
3,5,1,25,14,1,0.8141679055042641,5.489002399990568
3,5,1,25,14,2,0.8105167773016408,5.529647899995325
3,5,1,25,14,3,0.795308118906226,5.632134200001019
3,5,1,25,15,1,0.7863993206350756,5.278904599996167
3,5,1,25,15,2,0.7800684464287053,4.957951000003959
3,5,1,25,15,3,0.782923373005499,5.259083800003282
3,5,1,25,16,1,0.7996753593107574,17.81870849999541
3,5,1,25,16,2,0.7938413919693605,18.956411200008006
3,5,1,25,16,3,0.7988003976195709,17.931058699992718
3,5,1,25,17,1,0.8162170186414077,9.639442200001213
3,5,1,25,17,2,0.7834268227090209,9.464402600002359
3,5,1,25,17,3,0.792176247280247,9.493155999996816
3,5,1,25,18,1,0.8098527474806023,10.445606399996905
3,5,1,25,18,2,0.7841796885344077,10.164889500010759
