index,precision,recall,f1-score,support
glioma,0.8853754940711462,0.8,0.8405253283302064,280.0
meningioma,0.8071428571428572,0.8071428571428572,0.8071428571428572,280.0
notumor,0.9647887323943662,0.9785714285714285,0.9716312056737588,280.0
pituitary,0.8646864686468647,0.9357142857142857,0.8987993138936535,280.0
accuracy,0.8803571428571428,0.8803571428571428,0.8803571428571428,0.8803571428571428
macro avg,0.8804983880638085,0.8803571428571428,0.879524676260119,1120.0
weighted avg,0.8804983880638086,0.8803571428571428,0.879524676260119,1120.0
