index,precision,recall,f1-score,support
glioma,0.8601398601398601,0.8785714285714286,0.8692579505300353,280.0
meningioma,0.8617886178861789,0.7571428571428571,0.8060836501901141,280.0
notumor,0.9442508710801394,0.9678571428571429,0.9559082892416225,280.0
pituitary,0.8604651162790697,0.925,0.891566265060241,280.0
accuracy,0.8821428571428571,0.8821428571428571,0.8821428571428571,0.8821428571428571
macro avg,0.881661116346312,0.8821428571428571,0.8807040387555032,1120.0
weighted avg,0.8816611163463121,0.8821428571428571,0.8807040387555032,1120.0
