repeat,outer_fold,stage,n_estimators,candidate_id,inner_fold,macro_f1,fit_seconds
9,1,1,25,1,1,0.7883002901636287,2.0544920999673195
9,1,1,25,1,2,0.7903390310485424,2.140047999972012
9,1,1,25,1,3,0.7767502111222317,2.2040554999839514
9,1,1,25,2,1,0.8217114114669292,9.305021799984388
9,1,1,25,2,2,0.8260170848919404,9.228360100009013
9,1,1,25,2,3,0.8143143587710698,9.48535820003599
9,1,1,25,3,1,0.742871492497406,0.3483147999504581
9,1,1,25,3,2,0.7534876360203933,0.2747411000309512
9,1,1,25,3,3,0.7442741669800124,0.3314941000426188
9,1,1,25,4,1,0.7996863931156374,29.291291999979876
9,1,1,25,4,2,0.8222224264105952,28.277024500013795
9,1,1,25,4,3,0.812766435678268,27.694161400024313
9,1,1,25,5,1,0.8067248591129719,10.76367700000992
9,1,1,25,5,2,0.802061790534017,11.284012500022072
9,1,1,25,5,3,0.7896641006894071,10.958047299995087
9,1,1,25,6,1,0.7755937593859247,1.1897064000368118
9,1,1,25,6,2,0.7844104806331786,1.1291818000026979
9,1,1,25,6,3,0.7658688289688422,1.2076318000326864
9,1,1,25,7,1,0.7766610927057883,0.9093425000319257
9,1,1,25,7,2,0.7656860494526772,0.8963137000100687
9,1,1,25,7,3,0.7735750072994058,0.9410481000086293
9,1,1,25,8,1,0.7701736638048224,0.42985940002836287
9,1,1,25,8,2,0.775005145712824,0.33020560001023114
9,1,1,25,8,3,0.7606200422657903,0.3540344000211917
9,1,1,25,9,1,0.8101167384454899,11.154397599981166
9,1,1,25,9,2,0.8047572530902902,10.869015100004617
9,1,1,25,9,3,0.7896733078475079,11.128911899984814
9,1,1,25,10,1,0.7959854795155201,9.242479200009257
9,1,1,25,10,2,0.8048460865983733,9.670244599983562
9,1,1,25,10,3,0.7893512917657949,9.30589440005133
9,1,1,25,11,1,0.827772171873262,7.210212700010743
9,1,1,25,11,2,0.8285482193248775,6.987839800014626
9,1,1,25,11,3,0.8221573355372275,7.021054000011645
9,1,1,25,12,1,0.772522713238257,1.399714800005313
9,1,1,25,12,2,0.8081743403332688,1.3927324000396766
9,1,1,25,12,3,0.7778021589796513,1.4685974000021815
9,1,1,25,13,1,0.788319483626383,1.3994654000271112
9,1,1,25,13,2,0.7682567826460217,1.3924712999723852
9,1,1,25,13,3,0.7708802387492041,1.482978500018362
9,1,1,25,14,1,0.808796431260075,17.245352700003423
9,1,1,25,14,2,0.8249890264142385,16.382059999974445
9,1,1,25,14,3,0.8071603753828324,16.77278010000009
9,1,1,25,15,1,0.7958299788003793,2.628022900025826
9,1,1,25,15,2,0.7938481388450882,2.658817700052168
9,1,1,25,15,3,0.791578735778451,2.6043372999993153
9,1,1,25,16,1,0.77617459574962,1.3248420999734662
9,1,1,25,16,2,0.7733958453188436,1.2997791999951005
9,1,1,25,16,3,0.75324326631591,1.304734000004828
9,1,1,25,17,1,0.790324606900136,2.0180867000017315
9,1,1,25,17,2,0.7764180870133759,2.0377710000029765
9,1,1,25,17,3,0.7814880706006064,1.9937534999917261
9,1,1,25,18,1,0.798834009584134,8.451032999961171
9,1,1,25,18,2,0.7946636326903115,8.401297600008547
9,1,1,25,18,3,0.7835437504153239,8.422265500004869
9,1,1,25,19,1,0.8012881618401797,8.285419799969532
9,1,1,25,19,2,0.8040130913372677,8.43923730001552
9,1,1,25,19,3,0.7992906987276873,8.490782900014892
9,1,1,25,20,1,0.7448383017077363,0.6267028999864124
9,1,1,25,20,2,0.7484833075815445,0.463449299975764
9,1,1,25,20,3,0.7419428360831457,0.4990354999899864
9,1,1,25,21,1,0.7979107539135485,8.969958400004543
9,1,1,25,21,2,0.8063227016108286,8.893090600031428
9,1,1,25,21,3,0.7868111790690565,9.153800900036003
9,1,1,25,22,1,0.8058429372261197,28.744759599969257
9,1,1,25,22,2,0.8135181425586097,28.514200699981302
9,1,1,25,22,3,0.8081684992226803,29.249851399974432
9,1,1,25,23,1,0.7406426450519734,0.33172219997504726
9,1,1,25,23,2,0.742806077057862,0.30534049996640533
9,1,1,25,23,3,0.7402448858578742,0.3693288999493234
9,1,1,25,24,1,0.749705275329327,0.2655308000394143
9,1,1,25,24,2,0.7368562644003864,0.24591229995712638
9,1,1,25,24,3,0.7488523776503211,0.2981567000388168
9,1,1,25,25,1,0.7932750336594986,10.174401000025682
9,1,1,25,25,2,0.8031002865008369,9.567901599977631
9,1,1,25,25,3,0.7872743048000052,10.473355400026776
9,1,1,25,26,1,0.827772171873262,7.160634900035802
9,1,1,25,26,2,0.8285482193248775,7.3622438999591395
9,1,1,25,26,3,0.8221573355372275,7.2421597999637015
9,1,1,25,27,1,0.8117874243486617,5.609103599970695
9,1,1,25,27,2,0.8166923376316821,5.448434299963992
9,1,1,25,27,3,0.8164660302334102,5.291919699986465
9,1,1,25,28,1,0.7426150499398354,0.35538820002693683
9,1,1,25,28,2,0.7556595721782668,0.302578300004825
9,1,1,25,28,3,0.751672537094426,0.27707939996616915
9,1,1,25,29,1,0.8026679102217203,14.926228299969807
9,1,1,25,29,2,0.8201285040416448,13.954963500029407
9,1,1,25,29,3,0.7948876794818482,14.330381000007037
9,1,1,25,30,1,0.7411433439409418,0.3189380000112578
9,1,1,25,30,2,0.7325685707594446,0.26106039999285713
9,1,1,25,30,3,0.7338116003787396,0.32686470000771806
9,1,1,25,31,1,0.808223707063463,4.9398101000115275
9,1,1,25,31,2,0.8118013975744035,5.007635499991011
9,1,1,25,31,3,0.8010211413849936,5.022133500024211
9,1,1,25,32,1,0.8240230254150276,15.388476099993568
9,1,1,25,32,2,0.8206679244654337,15.997692600009032
9,1,1,25,32,3,0.8163274861756895,15.690099900006317
9,1,1,25,33,1,0.7892877384608934,9.575550500012469
9,1,1,25,33,2,0.8144077381559836,9.091903599968646
9,1,1,25,33,3,0.7998473033248683,9.66802350000944
9,1,1,25,34,1,0.8019517588033566,2.184482400014531
9,1,1,25,34,2,0.8066737630201523,2.221523199987132
9,1,1,25,34,3,0.7933827326840177,2.121033000003081
9,1,1,25,35,1,0.7973446247926972,2.219084400043357
9,1,1,25,35,2,0.8037019893288281,2.063918100029696
9,1,1,25,35,3,0.8090216648060503,2.0441425999742933
9,1,1,25,36,1,0.8073051340512687,2.017934300005436
9,1,1,25,36,2,0.7963614590755428,2.055796400003601
9,1,1,25,36,3,0.7986909963992638,2.0008930999902077
9,1,1,25,37,1,0.7375671968264561,0.4219728999887593
9,1,1,25,37,2,0.7332469236672414,0.32544740004232153
9,1,1,25,37,3,0.7436976610044408,0.4361702000023797
9,1,1,25,38,1,0.7996863931156374,28.788346700021066
9,1,1,25,38,2,0.8222224264105952,29.116081599961035
9,1,1,25,38,3,0.812766435678268,28.98803670000052
9,1,1,25,39,1,0.7839040321509922,1.9587735999957658
9,1,1,25,39,2,0.7896940275297855,2.12417549995007
9,1,1,25,39,3,0.779285849083001,2.1074921999825165
9,1,1,25,40,1,0.7863912864839844,0.9765172000043094
9,1,1,25,40,2,0.7680723846440967,1.0257034999667667
9,1,1,25,40,3,0.7732817201870088,0.9324279999709688
9,1,1,25,41,1,0.8068790896932152,2.912140799977351
9,1,1,25,41,2,0.7969818601997896,2.962286000023596
9,1,1,25,41,3,0.7974681006851232,2.84008300001733
9,1,1,25,42,1,0.7996863931156374,28.473704800009727
9,1,1,25,42,2,0.8222224264105952,28.702212399977725
9,1,1,25,42,3,0.812766435678268,27.339099599979818
9,1,1,25,43,1,0.7672112646066412,0.7641776000382379
9,1,1,25,43,2,0.7707428824895954,0.8729007999645546
9,1,1,25,43,3,0.7695837927495737,0.7762512000044808
9,1,1,25,44,1,0.8092061948145681,11.582587600045372
9,1,1,25,44,2,0.81009496021066,11.836409499985166
9,1,1,25,44,3,0.7907644442598182,11.965131100034341
9,1,1,25,45,1,0.7951517915248373,4.655780600034632
9,1,1,25,45,2,0.7897481641167354,5.002060999977402
9,1,1,25,45,3,0.7908256662235649,4.991888699994888
9,1,1,25,46,1,0.7966773635420364,1.3933830999885686
9,1,1,25,46,2,0.7929269478309904,1.2516999999643303
9,1,1,25,46,3,0.8009502766965525,1.3785786999505945
9,1,1,25,47,1,0.7904103023482141,3.3976882999995723
9,1,1,25,47,2,0.7915731870112428,3.6011394999804907
9,1,1,25,47,3,0.7931268939314422,3.4627104999963194
9,1,1,25,48,1,0.7448383017077363,0.592823299986776
9,1,1,25,48,2,0.7484833075815445,0.4523208999889903
9,1,1,25,48,3,0.7419428360831457,0.4646626000176184
9,1,1,25,49,1,0.7789212289541185,1.2608224999858066
9,1,1,25,49,2,0.8016068963260684,1.4477889999980107
9,1,1,25,49,3,0.7767533680132229,1.436382899992168
9,1,1,25,50,1,0.8043255568908887,5.227420500013977
9,1,1,25,50,2,0.7944520049727383,5.105123599991202
9,1,1,25,50,3,0.7981713322423778,5.22556110000005
9,1,1,25,51,1,0.8066656074793485,6.066186900017783
9,1,1,25,51,2,0.8243938145128451,5.979901999991853
9,1,1,25,51,3,0.8035751420433004,6.408054500003345
9,1,1,25,52,1,0.7898156428086827,2.0695542999892496
9,1,1,25,52,2,0.773589244288947,2.1636412999941967
9,1,1,25,52,3,0.7686024928275834,2.1589215000276454
9,1,1,25,53,1,0.8079873627054719,5.584853400010616
9,1,1,25,53,2,0.8120716810214063,5.50644090003334
9,1,1,25,53,3,0.7945593505606305,5.534916100034025
9,1,1,25,54,1,0.7737489867359082,2.126241200021468
9,1,1,25,54,2,0.7803130420639515,2.205773100024089
9,1,1,25,54,3,0.7709765644452804,2.031052300008014
9,1,1,25,55,1,0.7955092244733206,2.1460973999928683
9,1,1,25,55,2,0.8140284268700172,2.0426237999927253
9,1,1,25,55,3,0.8010404887332226,2.193883600004483
9,1,1,25,56,1,0.8065378377262434,12.067001399991568
9,1,1,25,56,2,0.8121660201888669,11.696012599975802
9,1,1,25,56,3,0.7955033095078441,12.051817199971993
9,1,1,25,57,1,0.7946360720854392,1.4140430000261404
9,1,1,25,57,2,0.8075295198139784,1.318171799997799
9,1,1,25,57,3,0.7932642662892818,1.4579438000218943
9,1,1,25,58,1,0.7959372806045667,1.4588397999759763
9,1,1,25,58,2,0.7948580832052143,1.3539819000288844
9,1,1,25,58,3,0.7931207667550003,1.3984566000290215
9,1,1,25,59,1,0.743589742727636,0.31487150001339614
9,1,1,25,59,2,0.729533267792375,0.30010230001062155
9,1,1,25,59,3,0.7337207529623404,0.2668743999674916
9,1,1,25,60,1,0.808796431260075,16.794898599968292
9,1,1,25,60,2,0.8249890264142385,16.48876089998521
9,1,1,25,60,3,0.8071603753828324,16.70974349998869
9,1,1,25,61,1,0.7996524033972217,3.290380600024946
9,1,1,25,61,2,0.8014758903759995,3.352393999986816
9,1,1,25,61,3,0.7998416542182037,3.2853919999906793
9,1,1,25,62,1,0.7932750336594986,10.15181070001563
9,1,1,25,62,2,0.8031002865008369,9.738854099996388
9,1,1,25,62,3,0.7872743048000052,10.092761099978816
9,1,1,25,63,1,0.8044663971616526,5.439739599998575
9,1,1,25,63,2,0.8114190130561607,5.849913100013509
9,1,1,25,63,3,0.8022940035292381,5.492232599994168
9,1,1,25,64,1,0.7950880972911106,2.043579099990893
