repeat,search_plus_refit_seconds,runtime_minutes,runtime_hours
1,66344.15879189948,1105.7359798649914,18.428932997749854
2,56591.918747199954,943.1986457866659,15.719977429777765
3,59239.93135859999,987.3321893099999,16.455536488499998
4,75621.3117523,1260.3551958716666,21.005919931194445
5,56887.32619979931,948.1221033299885,15.80203505549981
6,58574.586503000755,976.2431083833459,16.270718473055766
7,53111.79925729841,885.1966542883068,14.75327757147178
8,50899.718202500255,848.3286367083376,14.138810611805626
9,51475.50542099879,857.9250903499798,14.298751505832996
10,58892.89522340044,981.5482537233406,16.35913756205568
