repeat,fold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,best_inner_macro_f1,winning_candidate_id
1,1,0.8696428571428572,0.869642857142857,0.8698864450165602,0.869642857142857,0.8695520587733535,0.8425479688203624,55
1,2,0.8776785714285714,0.8776785714285715,0.8774082208795057,0.8776785714285715,0.8768787917799874,0.8469291189796305,36
1,3,0.8455357142857143,0.8455357142857143,0.8447145174189595,0.8455357142857143,0.8438238867027338,0.850794767082156,83
1,4,0.8776785714285714,0.8776785714285715,0.8754096097041089,0.8776785714285715,0.875652117383003,0.8428956914478279,81
1,5,0.85625,0.85625,0.8575184168525576,0.85625,0.856158173730551,0.8531736533612614,48
2,1,0.85,0.8500000000000001,0.8491295653198736,0.8500000000000001,0.848609216748244,0.8480038935574722,34
2,2,0.8473214285714286,0.8473214285714286,0.8476659977111357,0.8473214285714286,0.8463261058233349,0.8542417190842103,21
2,3,0.8714285714285714,0.8714285714285714,0.8715096639697847,0.8714285714285714,0.8704083224747939,0.8489949973290791,45
2,4,0.8714285714285714,0.8714285714285714,0.871106931283968,0.8714285714285714,0.8710305285418629,0.8399731307823043,32
2,5,0.8580357142857142,0.8580357142857142,0.8577981889190797,0.8580357142857142,0.857327302199553,0.8505215490262289,26
3,1,0.8767857142857143,0.8767857142857143,0.8772338567016831,0.8767857142857143,0.8765738161585417,0.8483695273417659,52
3,2,0.86875,0.8687499999999999,0.867546106128334,0.8687499999999999,0.8671070779575079,0.8486868062492995,20
3,3,0.8491071428571428,0.8491071428571428,0.848155560263938,0.8491071428571428,0.8477422664318635,0.8519339862206828,65
3,4,0.8491071428571428,0.8491071428571428,0.8483707499544604,0.8491071428571428,0.8478451496541923,0.8535302910980652,83
3,5,0.8830357142857143,0.8830357142857144,0.882850489614944,0.8830357142857144,0.8824545856049322,0.8451332616363749,55
4,1,0.8660714285714286,0.8660714285714286,0.866160489477776,0.8660714285714286,0.8655796035749104,0.8425368567079151,61
4,2,0.8580357142857142,0.8580357142857143,0.8577461975819328,0.8580357142857143,0.8575749019682808,0.8505508302870481,61
4,3,0.8642857142857143,0.8642857142857142,0.8633448748569444,0.8642857142857142,0.8634603124839864,0.8455608020930779,95
4,4,0.8678571428571429,0.8678571428571429,0.866075265876667,0.8678571428571429,0.8665712998096409,0.8419676901829855,89
4,5,0.8616071428571429,0.8616071428571428,0.8602155679955514,0.8616071428571428,0.8603226027736257,0.848904026742229,39
5,1,0.8553571428571428,0.8553571428571428,0.8554867529711795,0.8553571428571428,0.8552493150462661,0.8460533995508946,90
5,2,0.8607142857142858,0.8607142857142857,0.8597918471572329,0.8607142857142857,0.8598982647423575,0.8423749500801959,76
5,3,0.8803571428571428,0.8803571428571428,0.8797642719481819,0.8803571428571428,0.8793326948069339,0.8441665298432971,65
5,4,0.8607142857142858,0.8607142857142858,0.8594666965133946,0.8607142857142858,0.8599099583916984,0.8455436765833406,59
5,5,0.8785714285714286,0.8785714285714287,0.8781259879848287,0.8785714285714287,0.8774382710427368,0.8501443580978968,80
6,1,0.85,0.85,0.8481869530262736,0.85,0.8484437703068225,0.8481967159545315,65
6,2,0.8741071428571429,0.8741071428571429,0.8738762513536182,0.8741071428571429,0.8736794233203176,0.8460888498473084,61
6,3,0.8732142857142857,0.8732142857142857,0.87409684742998,0.8732142857142857,0.872614743302404,0.841633189691795,49
6,4,0.8535714285714285,0.8535714285714285,0.8527023616436429,0.8535714285714285,0.8528679660395038,0.8511059149747072,31
6,5,0.8785714285714286,0.8785714285714286,0.8782622316661219,0.8785714285714286,0.8774184217200419,0.8462802796292578,64
7,1,0.8821428571428571,0.8821428571428571,0.881661116346312,0.8821428571428571,0.8807040387555032,0.8446160641804418,4
7,2,0.8508928571428571,0.8508928571428571,0.8505764287889367,0.8508928571428571,0.8496500598400311,0.8522949032031687,22
7,3,0.8678571428571429,0.8678571428571429,0.8676775197604638,0.8678571428571429,0.8677243974465381,0.8480558727149239,4
7,4,0.8714285714285714,0.8714285714285714,0.8710584968190495,0.8714285714285714,0.8700765793803614,0.8488080310429104,90
7,5,0.8473214285714286,0.8473214285714286,0.8466483104142137,0.8473214285714286,0.8465372738863228,0.8518416969357628,90
8,1,0.8803571428571428,0.8803571428571428,0.8804983880638085,0.8803571428571428,0.879524676260119,0.8521988065439056,42
8,2,0.8571428571428571,0.8571428571428571,0.85634241496772,0.8571428571428571,0.8564490379552743,0.8405759762467778,96
8,3,0.8625,0.8624999999999999,0.8620269445230386,0.8624999999999999,0.8620159094130373,0.8478988261569428,5
8,4,0.8651785714285715,0.8651785714285714,0.8655200723439804,0.8651785714285714,0.8636819876134354,0.8523948164954344,1
8,5,0.8660714285714286,0.8660714285714286,0.8655484902026032,0.8660714285714286,0.8651077931396612,0.8504759238653158,49
9,1,0.85625,0.85625,0.855573018356712,0.85625,0.8551166687890749,0.8475093574276745,76
9,2,0.8651785714285715,0.8651785714285714,0.8664718481592677,0.8651785714285714,0.864680746801082,0.8489453760808253,48
9,3,0.8732142857142857,0.8732142857142857,0.8730519858896156,0.8732142857142857,0.8730190676391918,0.8472590522553739,7
9,4,0.8669642857142857,0.8669642857142856,0.8661185125203439,0.8669642857142856,0.8659879569180213,0.8500124160554582,35
9,5,0.8544642857142857,0.8544642857142857,0.8526063639018361,0.8544642857142857,0.8526576172318373,0.8521559409008276,86
10,1,0.8553571428571428,0.8553571428571428,0.8530768618135667,0.8553571428571428,0.8537686470453877,0.8551263884541322,73
10,2,0.8580357142857142,0.8580357142857142,0.8564466692565748,0.8580357142857142,0.8567769159130612,0.8519898547198416,73
10,3,0.8821428571428571,0.8821428571428571,0.8831400297862568,0.8821428571428571,0.8819623717867447,0.8467621453117742,48
10,4,0.8535714285714285,0.8535714285714286,0.8537689338783845,0.8535714285714286,0.8535787668676603,0.8481871119828455,87
10,5,0.8741071428571429,0.874107142857143,0.8725438232208428,0.874107142857143,0.8725621378762265,0.8447893471908167,81
