stage,n_estimators,rank,candidate_id,mean_macro_f1,sd_macro_f1,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,25,1,77,0.8181544474338126,0.008067115713501941,14.699639200007368,3,gini,60.0,10,4,0.05,False
1,25,2,19,0.8176184731398819,0.012312882930309866,65.27238070000021,3,gini,80.0,5,2,0.2,False
1,25,3,45,0.8161747265189424,0.004750142500537497,50.50339769999846,3,entropy,60.0,2,1,0.1,False
1,25,4,85,0.8152512500882395,0.010790990427651534,32.94653899999685,3,gini,60.0,10,1,0.1,False
1,25,5,3,0.8151450307476527,0.0054929847300342035,58.7413297000021,3,gini,80.0,10,4,0.2,False
1,25,6,98,0.8149073963524097,0.003058285705735782,58.63774480000575,3,gini,40.0,20,4,0.2,False
1,25,7,97,0.8141683623597814,0.004438360360940472,49.24856689999433,3,entropy,60.0,5,1,0.1,False
1,25,8,55,0.8130383406263665,0.008062651020857469,93.76968700000725,3,entropy,60.0,5,4,0.2,False
1,25,9,21,0.811951510429095,0.004513672460004155,47.910122100009175,3,entropy,60.0,10,4,0.1,False
1,25,10,16,0.8117590636705855,0.0021133220930929703,31.63787579999189,3,gini,,2,2,0.1,False
1,25,11,51,0.8117127333170684,0.0040452855686328795,26.26348969999526,3,gini,60.0,2,8,0.1,False
1,25,12,43,0.8116898107391597,0.00769996873185732,22.140483700000914,3,entropy,,10,8,0.05,False
1,25,13,63,0.8116898107391597,0.00769996873185732,22.943297699996037,3,entropy,20.0,10,8,0.05,False
1,25,14,49,0.8116280899539947,0.00999613450280202,14.903961699994397,3,gini,80.0,5,4,0.05,False
1,25,15,29,0.8106927452015605,0.012486741043839933,44.30067669998971,3,entropy,60.0,2,8,0.1,False
1,25,16,44,0.8106927452015605,0.012486741043839933,44.288560200002394,3,entropy,80.0,10,8,0.1,False
1,25,17,88,0.8106927452015605,0.012486741043839933,44.095898799998395,3,entropy,,5,8,0.1,False
1,25,18,33,0.8077866873588796,0.0055162362896931895,31.659416199996485,3,gini,40.0,20,2,0.1,False
1,25,19,32,0.8072214793121756,0.003296104585383756,93.7190344000046,3,entropy,60.0,10,2,0.2,False
1,25,20,74,0.803712235383547,0.007517759934718261,19.26264230000379,3,gini,80.0,10,1,0.1,True
1,25,21,75,0.8033674504564289,0.006215832392753375,5.598228399998334,3,gini,20.0,2,8,0.02,False
1,25,22,46,0.8031662689075173,0.0047778076702024,10.641144299996085,3,entropy,20.0,2,1,0.02,False
1,25,23,62,0.8021181334726322,0.004831296081432929,56.098582399994484,3,entropy,,20,2,0.2,True
1,25,24,72,0.8021181334726322,0.004831296081432929,55.320341499995266,3,entropy,20.0,20,2,0.2,True
1,25,25,28,0.8020271452554035,0.004327323574664753,5.698877300004824,3,gini,80.0,2,8,0.02,False
1,25,26,30,0.8020271452554035,0.004327323574664753,5.648893699995824,3,gini,,2,8,0.02,False
1,25,27,92,0.8020271452554035,0.004327323574664753,5.793994700004987,3,gini,60.0,5,8,0.02,False
1,25,28,79,0.801873340680889,0.007783943726770103,6.94697589999123,3,gini,40.0,2,1,0.02,False
1,25,29,40,0.8006263551933936,0.010818761297246583,19.15005960000417,3,gini,20.0,10,1,0.1,True
1,25,30,53,0.8005817306959028,0.01151114815432761,51.95354079998651,3,gini,20.0,20,8,0.2,False
1,25,31,91,0.8005042424914639,0.005975979649213748,9.46445279999898,3,entropy,40.0,5,8,0.02,False
1,25,32,36,0.7989955198174891,0.01185056372168643,58.595618299994385,3,entropy,40.0,5,2,0.2,True
1,25,33,38,0.7981416874693988,0.011026399915607558,29.302985899994383,3,entropy,,5,2,0.1,True
1,25,34,23,0.7981243982661996,0.007240941253609735,17.62829810000403,3,gini,20.0,10,4,0.1,True
