,precision,recall,f1-score,support
glioma,0.8901098901098901,0.8678571428571429,0.8788426763110307,280.0
meningioma,0.8363636363636363,0.8214285714285714,0.8288288288288288,280.0
notumor,0.9781818181818182,0.9607142857142857,0.9693693693693693,280.0
pituitary,0.9090909090909091,0.9642857142857143,0.9358752166377816,280.0
accuracy,0.9035714285714286,0.9035714285714286,0.9035714285714286,0.9035714285714286
macro avg,0.9034365634365634,0.9035714285714286,0.9032290227867527,1120.0
weighted avg,0.9034365634365634,0.9035714285714286,0.9032290227867527,1120.0
