repeat,outer_fold,stage,n_estimators,candidate_id,inner_fold,macro_f1,fit_seconds
1,4,1,25,1,1,0.8456276234400074,0.6428640330000235
1,4,1,25,1,2,0.8381972009796879,0.6526344640001298
1,4,1,25,1,3,0.8502159240711741,0.6595754029999625
1,4,1,25,2,1,0.8706721694636269,9.948362738000014
1,4,1,25,2,2,0.8637133159181015,8.917668134999985
1,4,1,25,2,3,0.8809549939770293,10.047728454999742
1,4,1,25,3,1,0.8532863083092166,0.8140960590003488
1,4,1,25,3,2,0.8635419934200428,0.823700929000097
1,4,1,25,3,3,0.8858162355790595,0.8335964379998586
1,4,1,25,4,1,0.8607014832036777,8.495017986999756
1,4,1,25,4,2,0.8737035006875024,8.575552064000021
1,4,1,25,4,3,0.8893192219059137,7.48012767299997
1,4,1,25,5,1,0.8519203060770625,1.8790718799996284
1,4,1,25,5,2,0.8533927626574357,2.139596463000089
1,4,1,25,5,3,0.869742516617344,1.5024620609997328
1,4,1,25,6,1,0.859778158574118,2.314005529000042
1,4,1,25,6,2,0.8555062959474886,2.322511319000114
1,4,1,25,6,3,0.8777949370727277,2.3768926380002995
1,4,1,25,7,1,0.8762425133319881,20.381154464000247
1,4,1,25,7,2,0.8664554467637218,19.307417871000325
1,4,1,25,7,3,0.8938025734408214,20.037923012999727
1,4,1,25,8,1,0.8524075254517453,1.7927692930002195
1,4,1,25,8,2,0.8620036290530816,1.821854662000078
1,4,1,25,8,3,0.8820216399360856,2.797591275999821
1,4,1,25,9,1,0.8831228658113625,17.684335615000236
1,4,1,25,9,2,0.8854931289557333,17.526492209000025
1,4,1,25,9,3,0.8952970088055153,18.77277577699988
1,4,1,25,10,1,0.8512377171489185,2.0286103309999817
1,4,1,25,10,2,0.8661728287813193,1.997858621999967
1,4,1,25,10,3,0.8675437889380948,1.9765083720003531
1,4,1,25,11,1,0.8683505681543485,10.339436360000036
1,4,1,25,11,2,0.8698689012070208,10.465682066999761
1,4,1,25,11,3,0.8840810056179146,10.352620030000253
1,4,1,25,12,1,0.8497794510431158,0.7631004509999002
1,4,1,25,12,2,0.8636338965620912,0.7611940209999375
1,4,1,25,12,3,0.8656951284142047,0.7592334619998837
1,4,1,25,13,1,0.882205547734887,6.999788179999996
1,4,1,25,13,2,0.881376652168554,7.329166881999754
1,4,1,25,13,3,0.8905749639907289,8.026145455000005
1,4,1,25,14,1,0.8758909434869891,2.8595440310000413
1,4,1,25,14,2,0.8750480172196832,2.805092611999953
1,4,1,25,14,3,0.8883387211796793,2.9099285190000046
1,4,1,25,15,1,0.8396931232561151,2.798576692000097
1,4,1,25,15,2,0.8606623064953763,1.8240018659998896
1,4,1,25,15,3,0.8831339574447923,1.8284106959999917
1,4,1,25,16,1,0.8624630414289897,3.678022011000394
1,4,1,25,16,2,0.8756495600170496,4.8140077040002325
1,4,1,25,16,3,0.8903516980246144,3.6350510429997485
1,4,1,25,17,1,0.884731825653428,32.18491819200017
1,4,1,25,17,2,0.885315285581243,32.13841011700015
1,4,1,25,17,3,0.9072077493485685,31.617313644000205
1,4,1,25,18,1,0.8733360823691196,7.85681453899997
1,4,1,25,18,2,0.8771398128530146,6.6225842799999555
1,4,1,25,18,3,0.8978077740351651,7.587945336999837
