stage_epoch,stage,accuracy,loss,val_accuracy,val_loss,learning_rate
1,frozen_head,0.6264880895614624,0.9162144660949707,0.7901785969734192,0.6073368191719055,0.0003000000142492354
2,frozen_head,0.7839781641960144,0.5917053818702698,0.8482142686843872,0.4687369465827942,0.0003000000142492354
3,frozen_head,0.826884925365448,0.5006664395332336,0.859375,0.4180440306663513,0.0003000000142492354
4,frozen_head,0.8360615372657776,0.44732770323753357,0.8772321343421936,0.37601980566978455,0.0003000000142492354
5,frozen_head,0.848710298538208,0.4157581329345703,0.8794642686843872,0.3479887545108795,0.0003000000142492354
6,frozen_head,0.8608630895614624,0.3906766176223755,0.8928571343421936,0.33141130208969116,0.0003000000142492354
7,frozen_head,0.866815447807312,0.3668300211429596,0.8950892686843872,0.3167940676212311,0.0003000000142492354
8,frozen_head,0.8702877163887024,0.35671982169151306,0.9040178656578064,0.3019886314868927,0.0003000000142492354
9,frozen_head,0.8702877163887024,0.3473988473415375,0.8995535969734192,0.29387807846069336,0.0003000000142492354
10,frozen_head,0.8757440447807312,0.3394632637500763,0.9017857313156128,0.2850799858570099,0.0003000000142492354
11,frozen_head,0.88120037317276,0.33669692277908325,0.9129464030265808,0.2823340594768524,0.0003000000142492354
12,frozen_head,0.8846726417541504,0.3272894322872162,0.9107142686843872,0.2742844223976135,0.0003000000142492354
13,frozen_head,0.8888888955116272,0.3129377067089081,0.9129464030265808,0.2666096091270447,0.0003000000142492354
14,frozen_head,0.886904776096344,0.31262269616127014,0.9107142686843872,0.27310818433761597,0.0003000000142492354
15,frozen_head,0.8950892686843872,0.30100423097610474,0.9263392686843872,0.2567543089389801,0.0003000000142492354
1,fine_tuning,0.893105149269104,0.28645601868629456,0.9174107313156128,0.23910482227802277,9.999999747378752e-06
2,fine_tuning,0.8965773582458496,0.272564172744751,0.9263392686843872,0.2257784903049469,9.999999747378752e-06
3,fine_tuning,0.9030258059501648,0.25782063603401184,0.9308035969734192,0.21623612940311432,9.999999747378752e-06
4,fine_tuning,0.9077380895614624,0.25270920991897583,0.9352678656578064,0.210414856672287,9.999999747378752e-06
5,fine_tuning,0.9151785969734192,0.2426622360944748,0.9308035969734192,0.20564334094524384,9.999999747378752e-06
6,fine_tuning,0.913690447807312,0.2339411973953247,0.9375,0.20164905488491058,9.999999747378752e-06
7,fine_tuning,0.9211309552192688,0.2202693223953247,0.9308035969734192,0.19546934962272644,9.999999747378752e-06
8,fine_tuning,0.9186508059501648,0.21814991533756256,0.9352678656578064,0.1952960044145584,9.999999747378752e-06
9,fine_tuning,0.9308035969734192,0.19835832715034485,0.9375,0.18337537348270416,9.999999747378752e-06
10,fine_tuning,0.9288194179534912,0.19586040079593658,0.9375,0.17627890408039093,9.999999747378752e-06
11,fine_tuning,0.9305555820465088,0.1947910338640213,0.9352678656578064,0.17427775263786316,9.999999747378752e-06
12,fine_tuning,0.9382440447807312,0.18135122954845428,0.9352678656578064,0.16811057925224304,9.999999747378752e-06
13,fine_tuning,0.936259925365448,0.17739535868167877,0.9419642686843872,0.16466940939426422,9.999999747378752e-06
14,fine_tuning,0.9417162537574768,0.1699400544166565,0.9419642686843872,0.16475701332092285,9.999999747378752e-06
15,fine_tuning,0.9382440447807312,0.16495844721794128,0.9397321343421936,0.16461347043514252,9.999999747378752e-06
16,fine_tuning,0.9446924328804016,0.1532883495092392,0.9441964030265808,0.15886543691158295,1.9999999949504854e-06
17,fine_tuning,0.9444444179534912,0.1550140678882599,0.9419642686843872,0.15855515003204346,1.9999999949504854e-06
18,fine_tuning,0.939980149269104,0.1606023907661438,0.9419642686843872,0.1574936956167221,1.9999999949504854e-06
19,fine_tuning,0.939980149269104,0.15444214642047882,0.9441964030265808,0.1560903638601303,1.9999999949504854e-06
20,fine_tuning,0.9464285969734192,0.15181675553321838,0.9441964030265808,0.15511587262153625,1.9999999949504854e-06
