rank,model,repeat,fold,configuration_number,configuration_id,batch_size,head_learning_rate,fine_tune_learning_rate,selected_stage,selected_epoch,selected_validation_loss,stage_1_best_epoch,stage_1_best_validation_loss,stage_2_best_epoch,stage_2_best_validation_loss,internal_accuracy,internal_balanced_accuracy,internal_macro_precision,internal_macro_recall,internal_macro_f1,internal_log_loss,stage_1_training_seconds,stage_2_training_seconds,total_candidate_seconds,trainable_backbone_layers
1,ResNet50,10,4,4,config_04_bs8_headlr3e-04_ftlr3e-06,8,0.0003,3e-06,fine_tuning,8,0.10254325717687607,10,0.19109280407428741,8,0.10254325717687607,0.9754464285714286,0.9754464285714286,0.9755943678641047,0.9754464285714286,0.9754026117687622,0.10254327177655885,110.07383461100108,131.5614892220001,263.3167463569989,23
2,ResNet50,10,4,9,config_09_bs32_headlr1e-03_ftlr1e-05,32,0.001,1e-05,fine_tuning,7,0.09829668700695038,15,0.17630794644355774,7,0.09829668700695038,0.9732142857142857,0.9732142857142858,0.9731257248920293,0.9732142857142858,0.9731028452393474,0.09829670908875508,69.94313384400084,64.2630655489993,137.82966472399858,23
3,ResNet50,10,4,3,config_03_bs8_headlr3e-04_ftlr1e-05,8,0.0003,1e-05,fine_tuning,4,0.10277535021305084,10,0.19109280407428741,4,0.10277535021305084,0.9709821428571429,0.9709821428571428,0.9709953722497361,0.9709821428571428,0.9709301156359981,0.10277537587065054,110.67939291899893,84.51425231399844,215.33392072899733,23
4,ResNet50,10,4,7,config_07_bs16_headlr3e-04_ftlr1e-05,16,0.0003,1e-05,fine_tuning,8,0.09634902328252792,15,0.19951359927654266,8,0.09634902328252792,0.96875,0.96875,0.9687457279562544,0.96875,0.9687090693727861,0.09634904686537951,92.3777474089984,93.3501364290023,196.97040655100136,23
5,ResNet50,10,4,11,config_11_bs32_headlr3e-04_ftlr1e-05,32,0.0003,1e-05,fine_tuning,5,0.09083063155412674,15,0.2154502421617508,5,0.09083063155412674,0.96875,0.96875,0.9686659831396673,0.96875,0.9686692065010649,0.09083064025937891,72.67809433200091,53.29921751300208,139.21363980300157,23
6,ResNet50,10,4,5,config_05_bs16_headlr1e-03_ftlr1e-05,16,0.001,1e-05,fine_tuning,7,0.09876429289579391,13,0.17872218787670135,7,0.09876429289579391,0.9665178571428571,0.9665178571428572,0.966463197563405,0.9665178571428572,0.9663177304393888,0.09876431017991989,89.90352332299881,84.31360559499808,178.14140199699978,23
7,ResNet50,10,4,12,config_12_bs32_headlr3e-04_ftlr3e-06,32,0.0003,3e-06,fine_tuning,16,0.1044485792517662,15,0.2154502421617508,16,0.1044485792517662,0.9642857142857143,0.9642857142857144,0.9642728930423385,0.9642857142857144,0.9641928102993146,0.10444859170938428,72.72242362199904,113.59451000400077,189.8214198679998,23
8,ResNet50,10,4,1,config_01_bs8_headlr1e-03_ftlr1e-05,8,0.001,1e-05,fine_tuning,3,0.09953345358371735,15,0.17179502546787262,3,0.09953345358371735,0.9642857142857143,0.9642857142857144,0.9641988191165115,0.9642857142857144,0.964000948829682,0.09953349022210196,127.79867297300007,75.7996070980007,207.41639103499983,23
9,ResNet50,10,4,10,config_10_bs32_headlr1e-03_ftlr3e-06,32,0.001,3e-06,fine_tuning,7,0.11138539761304855,15,0.17630794644355774,7,0.11138539761304855,0.9620535714285714,0.9620535714285714,0.9619692659227221,0.9620535714285714,0.9618887454175584,0.11138539766011446,71.74857325300036,64.6861444089991,146.94913798100242,23
10,ResNet50,10,4,8,config_08_bs16_headlr3e-04_ftlr3e-06,16,0.0003,3e-06,fine_tuning,7,0.10384847223758698,15,0.19951359927654266,7,0.10384847223758698,0.9620535714285714,0.9620535714285714,0.9619589922055518,0.9620535714285714,0.9618275025536457,0.10384847689397206,93.59599700299805,85.5024896520008,182.71555694400013,23
11,ResNet50,10,4,2,config_02_bs8_headlr1e-03_ftlr3e-06,8,0.001,3e-06,fine_tuning,6,0.1208568885922432,15,0.17179502546787262,6,0.1208568885922432,0.9598214285714286,0.9598214285714286,0.9595786081026116,0.9598214285714286,0.9595771319684171,0.12085689637826873,129.69986993800194,108.92889794599978,252.7102759019981,23
12,ResNet50,10,4,6,config_06_bs16_headlr1e-03_ftlr3e-06,16,0.001,3e-06,fine_tuning,10,0.1087169200181961,13,0.17872218787670135,10,0.1087169200181961,0.9598214285714286,0.9598214285714286,0.959555688645002,0.9598214285714286,0.959564902486158,0.10871693700811502,89.624843900001,106.79145824899751,200.25448979800058,23
