mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
40.03335873285929,0.9182404334559534,19.761308749516804,0.4495849930456784,0.01,scale,"{'classifier__C': 0.01, 'classifier__gamma': 'scale'}",0.40242054493755175,0.562428955382049,0.6560934986828945,0.5403143330008318,0.10473548987097472,17
39.309379418691,0.592890984503469,19.886361360549927,0.2697079291731339,0.01,1e-05,"{'classifier__C': 0.01, 'classifier__gamma': 1e-05}",0.343283984515545,0.5657926284003577,0.4226374147037464,0.44390467587321636,0.09207513761091152,19
39.18433936436971,0.8291493336955581,19.95226796468099,0.07532921921835208,0.01,0.0001,"{'classifier__C': 0.01, 'classifier__gamma': 0.0001}",0.36514962179621047,0.5852338856599452,0.5995215446751037,0.5166350173770864,0.10727504557834568,18
41.67526761690775,1.7619000000023317,20.335480133692425,0.15717807511278714,0.01,0.001,"{'classifier__C': 0.01, 'classifier__gamma': 0.001}",0.30493894283481393,0.4441481076396956,0.3765276494595509,0.37520489997802015,0.05683959969986501,22
39.35020057360331,1.522395985987161,20.332395315170288,0.7262131377316783,0.01,0.01,"{'classifier__C': 0.01, 'classifier__gamma': 0.01}",0.17974747474747477,0.1282633201530938,0.12711235568616072,0.14504105019557645,0.02454564603187966,24
24.11550235748291,1.166972550311706,16.74769862492879,0.3108802843191579,0.1,scale,"{'classifier__C': 0.1, 'classifier__gamma': 'scale'}",0.8342157140567119,0.8338881694323278,0.8336557288020909,0.8339198707637102,0.00022970938474050669,12
38.21293838818868,0.5328264788334673,21.629297653834026,0.5241306232965626,0.1,1e-05,"{'classifier__C': 0.1, 'classifier__gamma': 1e-05}",0.4250780778887425,0.5793561765072978,0.6988749791365829,0.5677697445108744,0.11207696711943307,16
25.702852964401245,0.7337187044284595,17.43970529238383,0.22286826993899891,0.1,0.0001,"{'classifier__C': 0.1, 'classifier__gamma': 0.0001}",0.8210810901016532,0.827634935850268,0.8103558796039108,0.8196906351852773,0.00712233434799996,14
32.393307526906334,0.3898874047347247,19.195936282475788,0.7094425895787609,0.1,0.001,"{'classifier__C': 0.1, 'classifier__gamma': 0.001}",0.743256566485148,0.7486934737324781,0.7542527595320014,0.7487342665832092,0.004489269682507377,15
39.31060536702474,0.8228234061863201,20.634700934092205,0.9292685939069175,0.1,0.01,"{'classifier__C': 0.1, 'classifier__gamma': 0.01}",0.17974747474747477,0.1282633201530938,0.12711235568616072,0.14504105019557645,0.02454564603187966,24
14.993301073710123,0.5997730338571845,13.069901784261068,0.09470650362954015,1.0,scale,"{'classifier__C': 1, 'classifier__gamma': 'scale'}",0.9264731272939191,0.9220618058604955,0.9226632051988233,0.9237327127844126,0.001953257800696132,6
21.92389790217082,0.3898470914766489,16.816014846165974,0.6292138477958822,1.0,1e-05,"{'classifier__C': 1, 'classifier__gamma': 1e-05}",0.8348192066473499,0.8386871274990652,0.8268972807536263,0.8334678716333471,0.00490711736903897,13
13.484707991282145,0.29007809289282016,11.170785029729208,0.6579620279124335,1.0,0.0001,"{'classifier__C': 1, 'classifier__gamma': 0.0001}",0.9071215312658931,0.8985228438768955,0.8963910848438603,0.9006784866622164,0.004638298320681724,11
29.692020893096924,0.831252864280872,15.686185280481974,0.6675146071216541,1.0,0.001,"{'classifier__C': 1, 'classifier__gamma': 0.001}",0.9096651908034115,0.9105310929019446,0.9148781458100235,0.9116914765051266,0.0022808759362929584,9
38.26604962348938,0.5544771257992661,20.43653194109599,0.5073829252795976,1.0,0.01,"{'classifier__C': 1, 'classifier__gamma': 0.01}",0.3651023829874961,0.35467556139236506,0.37410583035740325,0.3646279249124214,0.00793946559335846,23
18.21227153142293,0.36019142041499064,13.772215286890665,0.3701254666365772,10.0,scale,"{'classifier__C': 10, 'classifier__gamma': 'scale'}",0.9435274675826663,0.9325662816243923,0.9427952604605937,0.9396296698892175,0.00500350691363272,1
