iter,n_resources,rank_test_score,candidate_id,mean_test_score,std_test_score,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
3,675,1,18,0.9047721171734437,0.011368327853605446,636.4242344000377,3,entropy,20.0,5,1,0.2,False
3,675,2,77,0.9047721171734437,0.011368327853605446,653.9530990000349,3,entropy,,5,1,0.2,False
3,675,3,57,0.9046407232891643,0.008402398431478983,328.8287202999927,3,entropy,80.0,5,1,0.1,False
3,675,4,20,0.9034914651125986,0.006437000534527838,319.652536300011,3,entropy,,5,2,0.1,False
