iter,n_resources,rank_test_score,candidate_id,mean_test_score,std_test_score,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,75,1,39,0.9060656460082942,0.009929514023105337,73.6472185999155,3,entropy,,2,2,0.2,False
1,75,2,84,0.902958998283308,0.0066444158484441785,37.886566299945116,3,entropy,60.0,5,2,0.1,False
1,75,3,75,0.901532370778687,0.0065874359441024525,19.25720120011829,3,entropy,20.0,10,4,0.05,False
1,75,4,70,0.900362694069031,0.0052456074455922925,38.138853000011295,3,entropy,60.0,10,2,0.1,False
1,75,5,38,0.9002741817281886,0.004551414147819181,13.26481520012021,3,gini,40.0,5,2,0.05,False
1,75,6,95,0.899620272763534,0.009570504365808663,36.86450179992244,3,entropy,80.0,10,4,0.1,False
1,75,7,85,0.8986824240338412,0.004867285745659216,71.90537210006732,3,entropy,,20,2,0.2,False
1,75,8,18,0.8985190264844195,0.008283581506363394,48.18903079989832,3,gini,20.0,2,4,0.2,False
1,75,9,43,0.8980405065754195,0.010029733361988426,34.71347269997932,3,entropy,20.0,20,8,0.1,False
1,75,10,17,0.8980146392899147,0.006979835489729936,19.98292679991573,3,entropy,40.0,5,2,0.05,False
1,75,11,87,0.8953426039217202,0.012079959845046374,35.34182930004317,3,entropy,,2,8,0.1,False
1,75,12,10,0.8950469517348832,0.006326693714356153,6.462044600048102,3,gini,80.0,5,1,sqrt,False
1,75,13,73,0.8950174629652605,0.005472074523581169,6.446802499936894,3,gini,40.0,2,1,sqrt,False
1,75,14,83,0.8943540925548948,0.0013393655122415338,8.400649400078692,3,entropy,,2,2,0.02,False
1,75,15,24,0.8942069267683012,0.00424524800403281,5.527749000117183,3,gini,20.0,5,2,0.02,False
1,75,16,48,0.8941762023133029,0.008649114644687659,21.866050800075755,3,gini,80.0,10,8,0.1,False
1,75,17,13,0.8939500888704854,0.010046886198457738,23.713498900062405,3,gini,20.0,2,4,0.1,False
1,75,18,49,0.893744330343889,0.007993060694961618,21.5000604998786,3,gini,20.0,2,8,0.1,False
1,75,19,99,0.8932564595093937,0.008877833063019586,12.103346999851055,3,gini,40.0,20,4,0.05,False
1,75,20,63,0.8932205566086182,0.0027805307273616386,9.247971400036477,3,entropy,,5,4,sqrt,False
1,75,21,23,0.8930146599203165,0.008272827101506609,67.90259160019923,3,entropy,40.0,10,8,0.2,False
1,75,22,25,0.8930146599203165,0.008272827101506609,68.89367829996627,3,entropy,40.0,2,8,0.2,False
1,75,23,5,0.8926051374094786,0.007876774187468388,9.304285099846311,3,entropy,60.0,10,1,sqrt,False
1,75,24,50,0.8923364994742525,0.009830771126532616,5.833215099875815,3,gini,60.0,10,1,0.02,False
1,75,25,32,0.8919190907851183,0.00662731817131396,8.487418800010346,3,entropy,80.0,5,1,0.02,False
1,75,26,1,0.8915527203831616,0.009599703037611899,42.95040470000822,3,gini,40.0,2,8,0.2,False
1,75,27,42,0.8915527203831616,0.009599703037611899,43.163645500084385,3,gini,20.0,5,8,0.2,False
1,75,28,86,0.8915527203831616,0.009599703037611899,42.73319980001543,3,gini,80.0,10,8,0.2,False
1,75,29,37,0.891300935693355,0.008635446701908186,5.850463799899444,3,gini,,5,1,0.02,False
1,75,30,98,0.8909868793874849,0.004295636826113191,19.035285699996166,3,entropy,20.0,20,2,0.05,False
1,75,31,20,0.8905751296872975,0.008992942168578214,15.694755999953486,3,gini,,10,2,0.1,True
1,75,32,31,0.889423517811362,0.00803288363282075,14.418702900060453,3,gini,20.0,5,4,0.1,True
1,75,33,79,0.8892711288106799,0.007902545654795002,42.818604400148615,3,entropy,40.0,20,4,0.2,True
1,75,34,45,0.8879013124096796,0.008198978094462465,14.925585599849,3,gini,40.0,2,4,0.1,True
