rank,model,repeat,fold,configuration_number,configuration_id,batch_size,head_learning_rate,fine_tune_learning_rate,selected_stage,selected_epoch,selected_validation_loss,stage_1_best_epoch,stage_1_best_validation_loss,stage_2_best_epoch,stage_2_best_validation_loss,internal_accuracy,internal_balanced_accuracy,internal_macro_precision,internal_macro_recall,internal_macro_f1,internal_log_loss,stage_1_training_seconds,stage_2_training_seconds,total_candidate_seconds,trainable_backbone_layers
1,EfficientNetB0,10,5,1,config_01_bs8_headlr1e-03_ftlr1e-05,8,0.001,1e-05,fine_tuning,19,0.1344892829656601,15,0.19988666474819183,19,0.1344892829656601,0.9464285714285714,0.9464285714285714,0.9483243544644249,0.9464285714285714,0.9468018916338952,0.13448930048504262,127.82913403900011,194.8031904710001,326.358128031,13
2,EfficientNetB0,10,5,3,config_03_bs8_headlr3e-04_ftlr1e-05,8,0.0003,1e-05,fine_tuning,20,0.13025818765163422,15,0.2514249384403229,20,0.13025818765163422,0.9419642857142857,0.9419642857142857,0.94368916697462,0.9419642857142857,0.9424096596744616,0.13025817983860158,127.30412734599986,196.65116221900007,327.6912809800001,13
3,EfficientNetB0,10,5,9,config_09_bs32_headlr1e-03_ftlr1e-05,32,0.001,1e-05,fine_tuning,20,0.1545243263244629,15,0.22677280008792877,20,0.1545243263244629,0.9375,0.9375,0.9398530921882444,0.9375,0.9380854594692843,0.15452433516821865,69.10144717499998,93.26741410100021,165.85758461600017,13
4,EfficientNetB0,10,5,5,config_05_bs16_headlr1e-03_ftlr1e-05,16,0.001,1e-05,fine_tuning,20,0.13599765300750732,15,0.20326779782772064,20,0.13599765300750732,0.9375,0.9375,0.9393239136883205,0.9375,0.9378240081849591,0.13599764220101201,85.05070570199996,121.42764432700005,209.99943828699998,13
5,EfficientNetB0,10,5,6,config_06_bs16_headlr1e-03_ftlr3e-06,16,0.001,3e-06,fine_tuning,19,0.1718941479921341,15,0.20326779782772064,19,0.1718941479921341,0.9375,0.9375,0.9385020036722824,0.9375,0.9375006784370187,0.17189414318142257,85.54534888800026,121.95923494099998,211.05481164999992,13
6,EfficientNetB0,10,5,2,config_02_bs8_headlr1e-03_ftlr3e-06,8,0.001,3e-06,fine_tuning,20,0.1561070680618286,15,0.19988666474819183,20,0.1561070680618286,0.9352678571428571,0.9352678571428571,0.9376640689089417,0.9352678571428571,0.9358593055234802,0.15610706730765048,128.29813463300002,195.10000352399993,327.1006349529998,13
7,EfficientNetB0,10,5,7,config_07_bs16_headlr3e-04_ftlr1e-05,16,0.0003,1e-05,fine_tuning,19,0.15593203902244568,15,0.27418142557144165,19,0.15593203902244568,0.9308035714285714,0.9308035714285714,0.9326959761576141,0.9308035714285714,0.9309871253308224,0.1559320277302174,85.30871622699988,121.86538129900009,210.71865877300024,13
8,EfficientNetB0,10,5,11,config_11_bs32_headlr3e-04_ftlr1e-05,32,0.0003,1e-05,fine_tuning,20,0.18114306032657623,15,0.3045136034488678,20,0.18114306032657623,0.9285714285714286,0.9285714285714286,0.9303865313501969,0.9285714285714286,0.9290100623804897,0.18114306223192117,68.87438354300002,93.55323095099993,165.85954277799965,13
9,EfficientNetB0,10,5,4,config_04_bs8_headlr3e-04_ftlr3e-06,8,0.0003,3e-06,fine_tuning,20,0.18316413462162018,15,0.2514249384403229,20,0.18316413462162018,0.921875,0.921875,0.9238646288661381,0.921875,0.9223067445210558,0.18316413621506028,128.1105119240001,199.5918722729998,331.38499440199985,13
10,EfficientNetB0,10,5,10,config_10_bs32_headlr1e-03_ftlr3e-06,32,0.001,3e-06,fine_tuning,20,0.1940387785434723,15,0.22677280008792877,20,0.1940387785434723,0.9151785714285714,0.9151785714285714,0.9166542443792975,0.9151785714285714,0.9155182128818629,0.1940387733203148,69.44238266100001,94.05614896899988,166.9468544289998,13
11,EfficientNetB0,10,5,8,config_08_bs16_headlr3e-04_ftlr3e-06,16,0.0003,3e-06,fine_tuning,19,0.2126336395740509,15,0.27418142557144165,19,0.2126336395740509,0.9107142857142857,0.9107142857142857,0.9122207854966862,0.9107142857142857,0.9110715725656573,0.21263362174411077,86.36996537699997,122.65917895599978,212.59281545899967,13
12,EfficientNetB0,10,5,12,config_12_bs32_headlr3e-04_ftlr3e-06,32,0.0003,3e-06,fine_tuning,20,0.24346210062503815,15,0.3045136034488678,20,0.24346210062503815,0.8973214285714286,0.8973214285714286,0.8989264458322946,0.8973214285714286,0.8976347611915773,0.24346210377571728,69.11026504199981,94.93302113100026,167.49903821399994,13
