repeat,search_plus_refit_seconds,runtime_minutes,runtime_hours
1,26758.67552560137,445.9779254266895,7.432965423778159
2,25787.215924497927,429.7869320749654,7.163115534582757
3,24092.39494919672,401.53991581994535,6.692331930332423
4,26380.016132698976,439.66693554498295,7.327782259083049
5,25499.31259939843,424.98854332330717,7.083142388721786
6,23511.014727602713,391.8502454600452,6.530837424334087
7,26355.681440002518,439.2613573333753,7.321022622222921
8,24099.363057098584,401.65605095164307,6.694267515860718
9,31112.835980797536,518.5472663466256,8.642454439110427
10,24436.211426101276,407.2701904350213,6.787836507250354
