repeat,fold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,best_inner_macro_f1
1,1,0.9303571428571429,0.9303571428571429,0.9334788175820432,0.9303571428571429,0.9306926385550653,0.905598430375545
1,2,0.9267857142857143,0.9267857142857143,0.926630665830724,0.9267857142857143,0.9261737994916045,0.9076197887312617
1,3,0.90625,0.90625,0.908712671512885,0.90625,0.9059383960590683,0.9061630602065204
1,4,0.9205357142857142,0.9205357142857143,0.9222333681963041,0.9205357142857143,0.9203390190666314,0.904368318411839
1,5,0.9017857142857143,0.9017857142857142,0.9100153076897263,0.9017857142857142,0.9027692218237855,0.9055489092961686
2,1,0.9133928571428571,0.9133928571428572,0.9176910625430194,0.9133928571428572,0.9135129772638091,0.9071869791568377
2,2,0.9125,0.9125000000000001,0.916056877299151,0.9125000000000001,0.9127304848081821,0.9095166728692133
2,3,0.9276785714285715,0.9276785714285715,0.9286462316915542,0.9276785714285715,0.9275089908451407,0.900297610076262
2,4,0.93125,0.93125,0.9315358923853456,0.93125,0.9308471918670206,0.9018319974120854
2,5,0.9089285714285714,0.9089285714285714,0.9114183977003455,0.9089285714285714,0.9089990383993737,0.9137571313493941
3,1,0.90625,0.90625,0.9086242776313431,0.90625,0.9067092583986817,0.9099824818704727
3,2,0.9196428571428571,0.9196428571428572,0.9237342221983407,0.9196428571428572,0.9196843331799083,0.9069940567075614
3,3,0.9160714285714285,0.9160714285714286,0.9197410975728222,0.9160714285714286,0.9161339323712285,0.9068211278964761
3,4,0.9133928571428571,0.9133928571428572,0.9141651863935435,0.9133928571428572,0.9126754232860501,0.9136191913756577
3,5,0.9267857142857143,0.9267857142857143,0.9293925691971646,0.9267857142857143,0.9269714045207456,0.906006566940464
4,1,0.9339285714285714,0.9339285714285714,0.9358775563053948,0.9339285714285714,0.9340338134841017,0.904403362313624
4,2,0.9232142857142858,0.9232142857142858,0.9253472970762747,0.9232142857142858,0.9231347604579749,0.9076164793965127
4,3,0.9107142857142857,0.9107142857142858,0.9122638793523019,0.9107142857142858,0.9107170600350087,0.9104317193965823
4,4,0.9151785714285714,0.9151785714285715,0.9170529518149372,0.9151785714285715,0.9150376225802841,0.9069219892458581
4,5,0.9133928571428571,0.9133928571428572,0.9151792080386032,0.9133928571428572,0.913255188894968,0.905745785714708
5,1,0.9241071428571429,0.9241071428571429,0.9276073177282854,0.9241071428571429,0.9246298581475645,0.9055338475496756
5,2,0.9196428571428571,0.9196428571428572,0.9232352346787582,0.9196428571428572,0.920053639889286,0.901209287493785
5,3,0.9151785714285714,0.9151785714285715,0.9175290587174818,0.9151785714285715,0.9148645767029358,0.9033519631442158
5,4,0.9205357142857142,0.9205357142857143,0.9217275150366973,0.9205357142857143,0.9202954661881511,0.9053366131082968
5,5,0.9294642857142857,0.9294642857142857,0.9307182390410398,0.9294642857142857,0.9291683437700995,0.9064456902937296
6,1,0.9214285714285714,0.9214285714285715,0.9235123291045865,0.9214285714285715,0.9216487851528261,0.9000253963498356
6,2,0.9044642857142857,0.9044642857142857,0.9069068880976191,0.9044642857142857,0.9044424104478045,0.911925685429598
6,3,0.9276785714285715,0.9276785714285715,0.9288386357195877,0.9276785714285715,0.9275046849850096,0.9063236050003781
6,4,0.9196428571428571,0.9196428571428572,0.920970755089434,0.9196428571428572,0.9195651105230057,0.910068089211849
6,5,0.9107142857142857,0.9107142857142858,0.9146616730390053,0.9107142857142858,0.910769917915945,0.9085711659940933
7,1,0.9160714285714285,0.9160714285714285,0.9166027697717261,0.9160714285714285,0.9155773359769506,0.9047721171734437
7,2,0.9080357142857143,0.9080357142857143,0.9105988980214872,0.9080357142857143,0.9079764929658419,0.9097928761312356
7,3,0.9258928571428572,0.9258928571428571,0.9277792779704176,0.9258928571428571,0.9262892831145804,0.9061308632225545
7,4,0.9080357142857143,0.9080357142857144,0.9109818161557527,0.9080357142857144,0.9074339147746886,0.9045651716934935
7,5,0.9258928571428572,0.9258928571428572,0.9278787640083603,0.9258928571428572,0.9258875431580331,0.9044106119893375
8,1,0.9339285714285714,0.9339285714285714,0.9346422648454894,0.9339285714285714,0.9338646931288402,0.9029787927132791
8,2,0.9142857142857143,0.9142857142857144,0.9152520312473845,0.9142857142857144,0.9141962105735333,0.9027447403821421
8,3,0.9205357142857142,0.9205357142857143,0.9234395045115615,0.9205357142857143,0.92067468297349,0.9134592747599092
8,4,0.9151785714285714,0.9151785714285715,0.9178891253251331,0.9151785714285715,0.9149247257954336,0.9070758608560622
8,5,0.9151785714285714,0.9151785714285715,0.9192720287022085,0.9151785714285715,0.9153217104693409,0.9054148768895773
9,1,0.9214285714285714,0.9214285714285715,0.9220008044599988,0.9214285714285715,0.9210662701321282,0.9062278882735123
9,2,0.9116071428571428,0.911607142857143,0.9168540185466132,0.911607142857143,0.912344608325925,0.9062371100826822
9,3,0.9080357142857143,0.9080357142857144,0.910722190445805,0.9080357142857144,0.9082559554684715,0.9066919228662597
9,4,0.9258928571428572,0.9258928571428572,0.9275893079193258,0.9258928571428572,0.9257926423357555,0.9108690542575463
9,5,0.9151785714285714,0.9151785714285714,0.9179757513880942,0.9151785714285714,0.9149163328533084,0.9137526613012836
10,1,0.925,0.925,0.9259439637509634,0.925,0.9245893901426161,0.9068798429497648
10,2,0.9080357142857143,0.9080357142857143,0.9099734488696916,0.9080357142857143,0.9078273353578284,0.9067456577471346
10,3,0.9125,0.9125000000000001,0.9155980830177036,0.9125000000000001,0.9131084459465322,0.9059162495549078
10,4,0.9196428571428571,0.9196428571428572,0.9215005021405114,0.9196428571428572,0.9199102484095203,0.9090887136425798
10,5,0.9205357142857142,0.9205357142857143,0.9232785108328335,0.9205357142857143,0.920823730173701,0.9054837067035724
