,precision,recall,f1-score,support
glioma,0.9633699633699634,0.9392857142857143,0.9511754068716094,280.0
meningioma,0.9176029962546817,0.875,0.8957952468007313,280.0
notumor,0.9783393501805054,0.9678571428571429,0.9730700179533214,280.0
pituitary,0.9108910891089109,0.9857142857142858,0.9468267581475128,280.0
accuracy,0.9419642857142857,0.9419642857142857,0.9419642857142857,0.9419642857142857
macro avg,0.9425508497285153,0.9419642857142857,0.9417168574432938,1120.0
weighted avg,0.9425508497285154,0.9419642857142857,0.9417168574432937,1120.0
