iter,n_resources,rank_test_score,candidate_id,mean_test_score,std_test_score,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
2,225,1,79,0.9066465896464262,0.0067793864906468245,80.14727259997744,3,gini,60.0,5,1,0.1,False
2,225,2,93,0.9066465896464262,0.0067793864906468245,79.89814850012772,3,gini,80.0,5,1,0.1,False
2,225,3,81,0.9046984318416413,0.004546550179056595,156.5972907001851,3,gini,,10,1,0.2,False
2,225,4,20,0.9044531284856201,0.0024829817199051945,59.851353500038385,3,entropy,40.0,2,1,0.05,False
