iter,n_resources,rank_test_score,candidate_id,mean_test_score,std_test_score,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,75,1,43,0.9051782362238336,0.006306633947954531,77.59331470006146,3,entropy,60.0,2,1,0.2,False
1,75,2,82,0.9034024938447592,0.010361846297510276,77.09210789995268,3,entropy,40.0,5,2,0.2,False
1,75,3,6,0.9023320571017072,0.0027158878164238926,39.7268625999568,3,entropy,80.0,2,1,0.1,False
1,75,4,77,0.8989632815660377,0.005418194786981096,55.71718380006496,3,gini,20.0,2,1,0.2,False
1,75,5,27,0.8985832439025451,0.009612500601181162,50.023052399861626,3,gini,,2,4,0.2,False
1,75,6,58,0.89769204251142,0.007734537010660444,75.50114640011452,3,entropy,60.0,5,4,0.2,False
1,75,7,33,0.8975952828396218,0.011255663029369437,56.80822340003215,3,gini,,5,1,0.2,False
1,75,8,78,0.8963121296817916,0.0021910957062909256,14.584425600012764,3,gini,80.0,5,1,0.05,False
1,75,9,29,0.8957629123402636,0.010186332496457748,75.31337560003158,3,entropy,,20,2,0.2,False
1,75,10,59,0.8942690316384847,0.008630436253283387,13.736810599919409,3,gini,,5,2,0.05,False
1,75,11,95,0.8937049976896171,0.0022043897951462125,21.028896499890834,3,entropy,80.0,5,2,0.05,False
1,75,12,34,0.8936872874658243,0.007653557103469495,8.967972200131044,3,entropy,20.0,5,1,0.02,False
1,75,13,79,0.8932433518013037,0.007247555863371485,9.08481709996704,3,entropy,60.0,5,1,0.02,False
1,75,14,48,0.892726390736887,0.00791206574065034,20.030081799952313,3,entropy,,20,2,0.05,False
1,75,15,24,0.8926688445997238,0.005360084376524241,20.071946399868466,3,entropy,,10,4,0.05,False
1,75,16,98,0.8925400010440122,0.005602490997480724,9.817378899897449,3,entropy,40.0,5,1,sqrt,False
1,75,17,83,0.8921330787424108,0.008094615446493135,28.033092199941166,3,gini,,20,1,0.1,False
1,75,18,60,0.8917598612731165,0.006958516709841237,44.64906689990312,3,gini,,5,8,0.2,False
1,75,19,73,0.8917598612731165,0.006958516709841237,45.36409269995056,3,gini,40.0,2,8,0.2,False
1,75,20,28,0.8913569671177349,0.006777720591805677,9.780970000079833,3,entropy,40.0,5,2,sqrt,False
1,75,21,25,0.891003902608518,0.006045349487465417,48.82392009999603,3,entropy,20.0,2,1,0.2,True
1,75,22,31,0.8896967373853509,0.006342375481115249,19.847677999990992,3,entropy,,20,4,0.05,False
1,75,23,36,0.8894824231723929,0.007363130573190834,33.57669110002462,3,gini,40.0,5,1,0.2,True
1,75,24,18,0.8892068246028709,0.0036642030508872055,72.15950770000927,3,entropy,40.0,20,8,0.2,False
1,75,25,5,0.8882362681214788,0.0036425853634258626,45.597301500150934,3,entropy,80.0,10,4,0.2,True
1,75,26,19,0.8879989441688844,0.010586545619438054,32.523562200018205,3,gini,80.0,5,2,0.2,True
1,75,27,62,0.887691985764334,0.009445257372452191,22.444509700057097,3,gini,40.0,5,8,0.1,False
1,75,28,2,0.8873784161299025,0.0038262422032967463,12.690739099984057,3,gini,20.0,20,4,0.05,False
1,75,29,35,0.8869394865821736,0.003568538156733491,6.748491300037131,3,gini,80.0,10,1,sqrt,False
1,75,30,7,0.8863598628611085,0.005961903888351196,19.14670859987382,3,entropy,60.0,5,8,0.05,False
1,75,31,45,0.8861259673009466,0.010451003830281908,47.66682689986192,3,entropy,80.0,2,2,0.2,True
1,75,32,52,0.8855289248003179,0.004596339864132015,9.004230600083247,3,entropy,60.0,10,2,0.02,False
1,75,33,17,0.8813280042946369,0.0039619263614635745,11.48857849999331,3,gini,80.0,20,8,0.05,False
1,75,34,87,0.8813280042946369,0.0039619263614635745,11.720640799961984,3,gini,60.0,20,8,0.05,False
