stage,n_estimators,rank,candidate_id,mean_macro_f1,sd_macro_f1,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
2,75,1,59,0.8361624970548641,0.016980271355141914,80.62932999999612,3,gini,60.0,5,1,0.1,False
2,75,2,11,0.8356456648129815,0.019917592132832312,16.33648890000768,3,gini,80.0,2,2,0.02,False
2,75,3,17,0.8341605770518488,0.015461496911165152,85.8314398000075,3,gini,80.0,5,2,0.1,False
2,75,4,36,0.833472050803608,0.01916954794883255,31.786921599996276,3,gini,,2,2,0.05,False
2,75,5,49,0.8331012821862313,0.0144074810634421,70.14955509998254,3,entropy,40.0,10,2,0.05,False
2,75,6,98,0.8314896793130164,0.016941605875061307,125.87194070001715,3,entropy,60.0,2,4,0.1,False
2,75,7,54,0.831086599591608,0.017636633712376917,40.78253849997418,3,gini,20.0,10,2,0.05,False
2,75,8,53,0.830553203675027,0.015773871373518013,16.572462199954316,3,gini,40.0,5,4,0.02,False
2,75,9,86,0.830553203675027,0.015773871373518013,15.512027800024953,3,gini,80.0,2,4,0.02,False
2,75,10,72,0.8304186406974119,0.017380533444008,137.51480669996818,3,entropy,60.0,2,1,0.1,False
2,75,11,35,0.8302795697487418,0.018746691032678973,80.69350569995004,3,gini,60.0,2,1,0.1,False
2,75,12,62,0.8299202286086897,0.014876135848486736,35.288154899986694,3,gini,,5,8,0.05,False
