stage,n_estimators,rank,candidate_id,mean_macro_f1,sd_macro_f1,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
2,75,1,27,0.8378940418181885,0.004553033173598089,272.1245311999228,3,entropy,40.0,2,2,0.2,False
2,75,2,69,0.8360429568225527,0.007284365381178567,85.36009450006532,3,gini,20.0,5,1,0.1,False
2,75,3,62,0.8348874984727064,0.003776981117462056,88.69640980003169,3,gini,80.0,2,1,0.1,False
2,75,4,85,0.8332344392168997,0.00689439247569287,173.3825452000019,3,gini,20.0,2,1,0.2,False
2,75,5,36,0.8328454929815585,0.0015818894692824794,84.9016681999783,3,gini,40.0,5,2,0.1,False
2,75,6,92,0.8328454929815585,0.0015818894692824794,84.9514644999872,3,gini,80.0,5,2,0.1,False
2,75,7,32,0.8326712623255959,0.005809732671978785,87.42608310008654,3,gini,80.0,2,2,0.1,False
2,75,8,12,0.8319120530626419,0.0016621788117169454,45.45449480006937,3,gini,,10,1,0.05,False
2,75,9,81,0.8318872595412046,0.0033881739594410066,265.1847661000211,3,entropy,40.0,5,1,0.2,False
2,75,10,99,0.8318578743772349,0.00781324241251396,294.41065390000585,3,entropy,80.0,2,1,0.2,False
2,75,11,61,0.8316313711162309,0.008098490925404461,43.436758999945596,3,gini,60.0,5,2,0.05,False
2,75,12,75,0.8316313711162309,0.008098490925404461,43.27755760011496,3,gini,80.0,5,2,0.05,False
2,75,13,82,0.8314444379534777,0.006699497255201023,44.11302369995974,3,gini,80.0,10,2,0.05,False
2,75,14,55,0.8308961237098217,0.007574348658568574,46.68323220004095,3,gini,40.0,2,1,0.05,False
2,75,15,16,0.8300667101125542,0.010155714279958594,14.553291199961677,3,gini,60.0,10,1,sqrt,False
2,75,16,94,0.8288389545639506,0.0042866061482964525,17.955632599943783,3,gini,80.0,5,1,0.02,False
2,75,17,59,0.8285928372393161,0.002091886795972046,72.32091469998704,3,entropy,,2,2,0.05,False
2,75,18,4,0.8285890823806755,0.005772802933181832,147.5242718999507,3,entropy,,10,1,0.1,False
2,75,19,74,0.8272176627699951,0.00529569251326937,70.87817549990723,3,gini,80.0,2,8,0.1,False
2,75,20,15,0.8269985053929693,0.005949869672629162,72.37849500001175,3,entropy,60.0,20,2,0.05,False
2,75,21,1,0.8269623738836809,0.005702968924035824,71.37104870000621,3,gini,20.0,10,8,0.1,False
2,75,22,54,0.8267331598262005,0.007420234771055299,17.56796449999092,3,gini,80.0,2,4,0.02,False
2,75,23,34,0.8248697728349693,0.0047460848030547965,27.983588799950667,3,entropy,60.0,10,4,0.02,False
2,75,24,23,0.8208639182537998,0.004269018636605319,65.8617337999749,3,entropy,,20,8,0.05,False
2,75,25,29,0.8208639182537998,0.004269018636605319,64.96664820006117,3,entropy,80.0,20,8,0.05,False
2,75,26,18,0.8204051328602043,0.007064112199607508,70.5167916000355,3,entropy,40.0,20,4,0.05,False
2,75,27,44,0.8195124954760363,0.005441831989061971,143.23955589992693,3,gini,80.0,20,8,0.2,False
2,75,28,86,0.8194861917551278,0.005482555397894547,148.9539391999715,3,gini,20.0,20,8,0.2,False
2,75,29,25,0.8189880221594584,0.0032105087799733883,244.9877660999773,3,entropy,,5,8,0.2,False
2,75,30,46,0.8189880221594584,0.0032105087799733883,243.57679389999248,3,entropy,60.0,5,8,0.2,False
2,75,31,21,0.818763112208162,0.002949101277554212,149.29408009996405,3,gini,,2,8,0.2,False
2,75,32,26,0.8174012132078768,0.008531913110381682,105.08530059998157,3,gini,60.0,2,2,0.2,True
2,75,33,84,0.817351635267315,0.0024374445804620673,66.05107399995904,3,entropy,60.0,5,8,0.05,False
2,75,34,98,0.8130347553205377,0.008309157685284453,160.2108202999807,3,entropy,20.0,5,1,0.2,True
