repeat,outer_fold,stage,n_estimators,candidate_id,inner_fold,macro_f1,fit_seconds
8,2,1,25,1,1,0.8650549820547225,0.5469101000344381
8,2,1,25,1,2,0.8586251941033263,0.553685599938035
8,2,1,25,1,3,0.8621899489547156,0.5655843999702483
8,2,1,25,2,1,0.877033409417452,5.328768500010483
8,2,1,25,2,2,0.866520063324715,5.548315499909222
8,2,1,25,2,3,0.8671397983731886,5.554042599978857
8,2,1,25,3,1,0.8641205010703338,0.3446676000021398
8,2,1,25,3,2,0.8596690431312091,0.30994160007685423
8,2,1,25,3,3,0.8467542331365744,0.35282939998432994
8,2,1,25,4,1,0.8835615837292252,1.369127899990417
8,2,1,25,4,2,0.8685692925771795,1.4295877000549808
8,2,1,25,4,3,0.8709229220710468,1.435173899983056
8,2,1,25,5,1,0.8753291005440003,0.6450993000762537
8,2,1,25,5,2,0.8765114671421206,0.6405273999553174
8,2,1,25,5,3,0.867176164275928,0.6057277000509202
8,2,1,25,6,1,0.8661209742105551,0.4688853999832645
8,2,1,25,6,2,0.8564939756183177,0.5294048000359908
8,2,1,25,6,3,0.854315582009089,0.5512144999811426
8,2,1,25,7,1,0.8824458298759257,4.309960799990222
8,2,1,25,7,2,0.8746072594841044,4.483392699970864
8,2,1,25,7,3,0.8803530439500519,4.4958563999971375
8,2,1,25,8,1,0.8728593833067517,0.5508648999966681
8,2,1,25,8,2,0.8568490037349908,0.5038317000726238
8,2,1,25,8,3,0.8585220202999211,0.5072979000397027
8,2,1,25,9,1,0.8619780941949617,0.5053181999828666
8,2,1,25,9,2,0.8600026629697605,0.3866833000211045
8,2,1,25,9,3,0.8441998347063276,0.43233999994117767
8,2,1,25,10,1,0.8824458298759257,4.168246900080703
8,2,1,25,10,2,0.8746072594841044,4.337137999944389
8,2,1,25,10,3,0.8803530439500519,4.264853299944662
8,2,1,25,11,1,0.8800263672715415,1.032475300016813
8,2,1,25,11,2,0.8658132753059452,1.174130899948068
8,2,1,25,11,3,0.8665910990161547,1.4846266000531614
8,2,1,25,12,1,0.8788988555603083,0.8948193000396714
8,2,1,25,12,2,0.8825567211593098,0.819244800019078
8,2,1,25,12,3,0.8713855281334639,0.833726599928923
8,2,1,25,13,1,0.8815283391587356,0.5232879999093711
8,2,1,25,13,2,0.8666103452984827,0.4829307000618428
8,2,1,25,13,3,0.8527741124086571,0.5499994000419974
8,2,1,25,14,1,0.8856720828747768,5.458824299974367
8,2,1,25,14,2,0.8874446793264146,5.3512231999775395
8,2,1,25,14,3,0.8746808580153939,5.395492500043474
8,2,1,25,15,1,0.8633545572646585,0.7384914000285789
8,2,1,25,15,2,0.8618942098662554,0.6684933000942692
8,2,1,25,15,3,0.860703310568389,0.7299389999825507
8,2,1,25,16,1,0.8686207603666258,0.5411799000576138
8,2,1,25,16,2,0.8748030815977502,0.5246865999652073
8,2,1,25,16,3,0.8667685385519728,0.6406491999514401
8,2,1,25,17,1,0.8855073571351977,1.7105381999863312
8,2,1,25,17,2,0.8877795089303888,1.75353950005956
8,2,1,25,17,3,0.8827262381599454,1.744303800049238
8,2,1,25,18,1,0.8615654255868457,0.455046399962157
8,2,1,25,18,2,0.8585896452026741,0.38581440004054457
8,2,1,25,18,3,0.8505042182441432,0.37502770009450614
8,2,1,25,19,1,0.8774989607169558,2.043208400020376
8,2,1,25,19,2,0.8708187191573838,2.103003599913791
8,2,1,25,19,3,0.8727305417137835,2.2248802999965847
8,2,1,25,20,1,0.8820179463886773,1.9488173000281677
8,2,1,25,20,2,0.8721098464606074,2.080061300075613
8,2,1,25,20,3,0.8716636267031153,2.0947444000048563
8,2,1,25,21,1,0.8775858068632836,0.7253749999217689
8,2,1,25,21,2,0.8656298926790887,0.7016018000431359
8,2,1,25,21,3,0.8670229785086805,0.7258898000000045
8,2,1,25,22,1,0.8913047699211059,5.001761799911037
8,2,1,25,22,2,0.8887386478389292,4.735188000020571
8,2,1,25,22,3,0.8858188070981432,4.752145800041035
8,2,1,25,23,1,0.8692668990500166,0.8496765999589115
8,2,1,25,23,2,0.8676426545577092,0.7730234999908134
8,2,1,25,23,3,0.8650609920941293,0.9074875999940559
8,2,1,25,24,1,0.8456683374935828,0.260529899969697
8,2,1,25,24,2,0.8466043354577292,0.2607602000935003
8,2,1,25,24,3,0.847454922426746,0.2450914999935776
8,2,1,25,25,1,0.8900046174560553,4.532837999984622
8,2,1,25,25,2,0.8892599682256508,4.699375099968165
8,2,1,25,25,3,0.8867214328665303,4.6427553000394255
8,2,1,25,26,1,0.874156456304787,0.35912340006325394
8,2,1,25,26,2,0.860347213052168,0.3870708999456838
8,2,1,25,26,3,0.862965118667784,0.4050549999810755
8,2,1,25,27,1,0.8817382980621884,6.682429700042121
8,2,1,25,27,2,0.8812826660394592,6.440024800016545
8,2,1,25,27,3,0.8759814630695493,6.788067899993621
8,2,1,25,28,1,0.8826957980452911,1.6125635999487713
8,2,1,25,28,2,0.8811207513823791,1.5551438999827951
8,2,1,25,28,3,0.8681169244044781,1.6237315000034869
8,2,1,25,29,1,0.8850868643496662,0.8291906999656931
8,2,1,25,29,2,0.8588159612914394,0.7217470000032336
8,2,1,25,29,3,0.8684959178461038,0.8170000999234617
8,2,1,25,30,1,0.8806521045542732,0.8830453000264242
8,2,1,25,30,2,0.8706799534891237,0.8180070000234991
8,2,1,25,30,3,0.8672236076227563,0.8513137999689206
8,2,1,25,31,1,0.8496385421376764,0.3374502999940887
8,2,1,25,31,2,0.8446250707020754,0.335308900102973
8,2,1,25,31,3,0.843924835749831,0.3266998000908643
8,2,1,25,32,1,0.87733466604125,1.48977359989658
8,2,1,25,32,2,0.8694334340271597,1.534851299948059
8,2,1,25,32,3,0.8742178148507562,1.571795399999246
8,2,1,25,33,1,0.8966872453332791,9.21395390003454
8,2,1,25,33,2,0.880584627326826,8.920457000029273
8,2,1,25,33,3,0.8836582156361943,8.84825689997524
8,2,1,25,34,1,0.8799736707419596,1.7315772000001743
8,2,1,25,34,2,0.8796921345170137,1.6919458999764174
8,2,1,25,34,3,0.8798708384410268,1.6079364999895915
8,2,1,25,35,1,0.8404775109292003,0.34522060002200305
8,2,1,25,35,2,0.8417283722502642,0.3420461999485269
8,2,1,25,35,3,0.8310938927971137,0.29678440000861883
8,2,1,25,36,1,0.8549924950219039,0.6662148999748752
8,2,1,25,36,2,0.8649723831158801,0.6701014999998733
8,2,1,25,36,3,0.8575157716448478,0.6728048000950366
8,2,1,25,37,1,0.8370700131967079,0.27552459994331
8,2,1,25,37,2,0.8377474005027721,0.29622989997733384
8,2,1,25,37,3,0.8290859570408211,0.32041180005762726
8,2,1,25,38,1,0.8718939124139878,0.7248230000259355
8,2,1,25,38,2,0.8694369198963912,0.6974232000065967
8,2,1,25,38,3,0.8580321578784561,0.7105417000129819
8,2,1,25,39,1,0.8795335734716041,1.1578287000302225
8,2,1,25,39,2,0.8763203415890171,1.1747244999278337
8,2,1,25,39,3,0.8697059213096352,1.2450179000152275
8,2,1,25,40,1,0.8948288733647887,4.567173199960962
8,2,1,25,40,2,0.880531572256344,4.807161599979736
8,2,1,25,40,3,0.8915740826754164,4.615620099939406
8,2,1,25,41,1,0.8606150036308757,0.3494760999456048
8,2,1,25,41,2,0.8602826938457158,0.3391463999869302
8,2,1,25,41,3,0.8392207353815169,0.34728609991725534
8,2,1,25,42,1,0.8856720828747768,5.553225299925543
8,2,1,25,42,2,0.8874446793264146,5.658525399980135
8,2,1,25,42,3,0.8746808580153939,5.581209599971771
8,2,1,25,43,1,0.8830408700831405,0.7657596000935882
8,2,1,25,43,2,0.8725934816251829,0.7073204999323934
8,2,1,25,43,3,0.862713499165863,0.7250046998960897
8,2,1,25,44,1,0.8812206455757703,3.4545517000369728
8,2,1,25,44,2,0.8796731857154163,3.494917399948463
8,2,1,25,44,3,0.8987997647470451,3.4061036999337375
8,2,1,25,45,1,0.872540071021807,0.6275757999392226
8,2,1,25,45,2,0.8508611175878118,0.526129600009881
8,2,1,25,45,3,0.8542617563126346,0.5196342000272125
8,2,1,25,46,1,0.8809823553815317,4.297505700029433
8,2,1,25,46,2,0.8821306699083582,4.658064999966882
8,2,1,25,46,3,0.883921001500665,4.458946299972013
8,2,1,25,47,1,0.8796793980864445,6.007146799936891
8,2,1,25,47,2,0.8880114804901142,5.9610163000179455
8,2,1,25,47,3,0.8758227814044547,5.995930699980818
8,2,1,25,48,1,0.8845970798186665,1.7590041999937966
8,2,1,25,48,2,0.880675743708265,1.7429571999236941
8,2,1,25,48,3,0.8771435733120507,1.7617315999232233
8,2,1,25,49,1,0.8449468062113794,0.25736299995332956
8,2,1,25,49,2,0.8388792257364848,0.23882790002971888
8,2,1,25,49,3,0.8384953391803945,0.3088871999643743
8,2,1,25,50,1,0.8788988555603083,0.7522507000248879
8,2,1,25,50,2,0.8825567211593098,0.738521600025706
8,2,1,25,50,3,0.8713855281334639,0.7119811999145895
8,2,1,25,51,1,0.8824458298759257,4.171842799987644
8,2,1,25,51,2,0.8746072594841044,4.381763200042769
8,2,1,25,51,3,0.8803530439500519,4.37092739995569
8,2,1,25,52,1,0.8793031545897962,1.0773214000510052
8,2,1,25,52,2,0.8711517992148888,1.1191259000916034
8,2,1,25,52,3,0.8684818394979725,1.0830872999504209
8,2,1,25,53,1,0.8757661182255371,0.6796764000318944
8,2,1,25,53,2,0.8712042132791717,0.6595679000020027
8,2,1,25,53,3,0.8630191540611005,0.6993973000207916
8,2,1,25,54,1,0.8782910103695345,1.491172300069593
8,2,1,25,54,2,0.876916309660552,1.410592500003986
8,2,1,25,54,3,0.8753438666776848,1.4947929000481963
8,2,1,25,55,1,0.8370700131967079,0.3129540999652818
8,2,1,25,55,2,0.8377474005027721,0.27307190001010895
8,2,1,25,55,3,0.8290859570408211,0.35970159992575645
8,2,1,25,56,1,0.8749809921805655,0.7741153000388294
8,2,1,25,56,2,0.8709970986736035,0.7188026000512764
8,2,1,25,56,3,0.8728788673831445,0.7728126000147313
8,2,1,25,57,1,0.872540071021807,0.5165040000574663
8,2,1,25,57,2,0.8508611175878118,0.47249959991313517
8,2,1,25,57,3,0.8542617563126346,0.5512877999572083
8,2,1,25,58,1,0.8874633979404796,2.3082386000314727
8,2,1,25,58,2,0.8812184238589019,2.237137099960819
8,2,1,25,58,3,0.8784033581701721,2.444309499929659
8,2,1,25,59,1,0.8929297401958615,4.679018700029701
8,2,1,25,59,2,0.8860383759720881,4.595434300019406
8,2,1,25,59,3,0.8897666150825742,4.902755799936131
8,2,1,25,60,1,0.8632637181721766,0.6849287999793887
8,2,1,25,60,2,0.8704347681601377,0.6559123999904841
8,2,1,25,60,3,0.8666729451345233,0.6487089999718592
8,2,1,25,61,1,0.8856877484860147,1.2799684000201523
8,2,1,25,61,2,0.8765333679888264,1.1731322000268847
8,2,1,25,61,3,0.8687089777720205,1.136811999953352
8,2,1,25,62,1,0.8872729711870515,2.9864275000290945
8,2,1,25,62,2,0.8759855180901197,2.9814136000350118
8,2,1,25,62,3,0.8834321939855532,2.906400600099005
8,2,1,25,63,1,0.8725363058990678,1.0091292000142857
8,2,1,25,63,2,0.8662431805434938,0.9972294999752194
8,2,1,25,63,3,0.8554458810369919,0.9706839999416843
8,2,1,25,64,1,0.8846986434453732,4.378879899973981
8,2,1,25,64,2,0.8833001682263855,4.64620429999195
8,2,1,25,64,3,0.8828061145784475,4.6968874000012875
8,2,1,25,65,1,0.8809823553815317,4.430261999950744
8,2,1,25,65,2,0.8821306699083582,4.64834770001471
8,2,1,25,65,3,0.883921001500665,4.641612699953839
8,2,1,25,66,1,0.8841467701520815,1.0043171000434086
8,2,1,25,66,2,0.8656427135304803,1.0542753000045195
8,2,1,25,66,3,0.8660662002198748,0.9836376999737695
8,2,1,25,67,1,0.8783161857982987,1.5339317999314517
8,2,1,25,67,2,0.8711667414683093,1.5781000000424683
8,2,1,25,67,3,0.8670269246803862,1.5189953000517562
8,2,1,25,68,1,0.8770473569588939,0.8135644999565557
8,2,1,25,68,2,0.8712973217181801,0.781656299950555
8,2,1,25,68,3,0.8576105112016424,0.8127187000354752
8,2,1,25,69,1,0.8826957980452911,1.5481005000183359
8,2,1,25,69,2,0.8811207513823791,1.5571683999150991
8,2,1,25,69,3,0.8687344154630151,1.5455853999592364
8,2,1,25,70,1,0.8870433099498977,5.733874300029129
8,2,1,25,70,2,0.88063190344723,5.4861265000654384
8,2,1,25,70,3,0.8612700119408253,5.600209500058554
8,2,1,25,71,1,0.8688256213099772,0.3383693000068888
8,2,1,25,71,2,0.8565919559632191,0.31957739999052137
8,2,1,25,71,3,0.8468505695835541,0.3153991000726819
8,2,1,25,72,1,0.8753627401011483,0.6020599000621587
8,2,1,25,72,2,0.8765114671421206,0.6265281999949366
8,2,1,25,72,3,0.867176164275928,0.6257609999738634
8,2,1,25,73,1,0.8549924950219039,0.6172286999644712
8,2,1,25,73,2,0.8649723831158801,0.6179353999905288
8,2,1,25,73,3,0.8575157716448478,0.6350631000241265
8,2,1,25,74,1,0.8613424897422526,0.4797521000728011
8,2,1,25,74,2,0.8551247962306863,0.5088350999867544
8,2,1,25,74,3,0.8552042227469301,0.5207745999796316
8,2,1,25,75,1,0.868587087222632,1.5495874000480399
8,2,1,25,75,2,0.8676799734809482,1.6318833000259474
8,2,1,25,75,3,0.8647199618157798,1.6483662999235094
8,2,1,25,76,1,0.8870922593563977,2.029863200034015
8,2,1,25,76,2,0.8719294237665443,2.025447800057009
8,2,1,25,76,3,0.8803285448734408,2.120260399999097
8,2,1,25,77,1,0.8844239634074815,0.9089213999686763
8,2,1,25,77,2,0.8713275877540149,0.7743215999798849
8,2,1,25,77,3,0.8717931348781028,0.7756359999766573
8,2,1,25,78,1,0.8496385421376764,0.31629460002295673
