stage_epoch,stage,accuracy,loss
1,frozen_head,0.7087053656578064,0.7340951561927795
2,frozen_head,0.8247767686843872,0.4505752623081207
3,frozen_head,0.8660714030265808,0.3610200881958008
4,frozen_head,0.8843749761581421,0.3119587302207947
5,frozen_head,0.8933035731315613,0.2908211350440979
6,frozen_head,0.8968750238418579,0.27354416251182556
7,frozen_head,0.9075892567634583,0.25092044472694397
8,frozen_head,0.9127232432365417,0.2397768795490265
9,frozen_head,0.9151785969734192,0.23322579264640808
10,frozen_head,0.9220982193946838,0.2175489217042923
11,frozen_head,0.9165178537368774,0.20942391455173492
12,frozen_head,0.9308035969734192,0.20067818462848663
13,frozen_head,0.9276785850524902,0.19524405896663666
14,frozen_head,0.9323660731315613,0.1875353753566742
15,frozen_head,0.9337053298950195,0.18537135422229767
1,fine_tuning,0.9352678656578064,0.1671423763036728
2,fine_tuning,0.9725446701049805,0.07751888036727905
3,fine_tuning,0.9906250238418579,0.03363899886608124
4,fine_tuning,0.9946428537368774,0.01916830986738205
5,fine_tuning,0.9946428537368774,0.01803090237081051
6,fine_tuning,0.996874988079071,0.011117861606180668
