candidate_id,mean_inner_macro_f1,sd_inner_macro_f1,total_fit_seconds,completed_inner_folds,stage,n_estimators,rank
91,0.8181119221140123,0.01839442798933034,30.37135460000718,3,1,25,1
8,0.8173006735533899,0.010443281861181191,61.49526159997914,3,1,25,2
42,0.8162533013229009,0.014258003609362186,31.616643000015756,3,1,25,3
25,0.8157564568161525,0.013996908834910662,47.488123600021936,3,1,25,4
96,0.8155867752658521,0.01187169337154976,88.64469499999541,3,1,25,5
67,0.8143684122395486,0.013064749242540787,15.583850600000005,3,1,25,6
85,0.8135170430121116,0.008917773732891536,62.167702700040536,3,1,25,7
37,0.8134892460484361,0.011058282815264737,57.21884900002624,3,1,25,8
69,0.8134892460484361,0.011058282815264737,57.07918920001248,3,1,25,9
27,0.8133594906640651,0.012977923413714754,62.43239279999398,3,1,25,10
23,0.8132662249993855,0.011364398282398767,22.72140260002925,3,1,25,11
77,0.8130155234570683,0.012068037937568546,23.05687239996041,3,1,25,12
55,0.8121942341130898,0.018201012706436606,15.070372099988163,3,1,25,13
60,0.8121942341130898,0.018201012706436606,15.214854400022887,3,1,25,14
43,0.8120139586084839,0.0095297389400236,22.57086349997553,3,1,25,15
88,0.8113919094465413,0.008630063590791832,46.16921610001009,3,1,25,16
3,0.8110448630618542,0.005992470262107663,48.31388900001184,3,1,25,17
89,0.8106557926857771,0.009004346156104124,46.94593729998451,3,1,25,18
68,0.809957228210409,0.014352565390499292,90.49323319998803,3,1,25,19
79,0.8097296340014752,0.00842513538562669,94.48313859998598,3,1,25,20
94,0.8090081956644818,0.015852606616822265,21.579043200035812,3,1,25,21
19,0.8081436418445515,0.0192185160881597,87.97617639999953,3,1,25,22
40,0.8080204903403428,0.011429024854852286,85.67690230000879,3,1,25,23
34,0.8072389192774551,0.020072191306434353,42.43739809998078,3,1,25,24
2,0.8054391233152719,0.011273875246601946,18.20311380000203,3,1,25,25
4,0.8053346904540944,0.011941362045477018,91.24685510000563,3,1,25,26
18,0.8053346904540944,0.011941362045477018,87.65129710000474,3,1,25,27
48,0.8053346904540944,0.011941362045477018,85.91847469998174,3,1,25,28
82,0.8031073357898394,0.017280101191359774,4.3427225000050385,3,1,25,29
95,0.8030977808601524,0.016664460557771394,4.964291299984325,3,1,25,30
31,0.8025172877180554,0.008405037076940555,10.0256834999891,3,1,25,31
64,0.8017151974816731,0.029764566459392253,3.727508000039961,3,1,25,32
