candidate_id,mean_inner_macro_f1,sd_inner_macro_f1,total_fit_seconds,completed_inner_folds,stage,n_estimators,rank
67,0.8443999845970113,0.012361912515584498,130.1127602000197,3,3,225,1
55,0.841928804798756,0.009662923766639313,124.71964759999537,3,3,225,2
60,0.841928804798756,0.009662923766639313,125.25498299999163,3,3,225,3
3,0.8397417741301193,0.011601785281652352,384.3987370999821,3,3,225,4
77,0.838146097809993,0.009986050630110066,203.04978219998884,3,3,225,5
89,0.8373130485630907,0.01033615772522546,395.97861379996175,3,3,225,6
88,0.8370009976650618,0.012265318918528995,396.5387012999854,3,3,225,7
42,0.8367491405981559,0.013377618285832048,261.8480166999798,3,3,225,8
25,0.8354075205783182,0.015826896580787515,396.6157981000433,3,3,225,9
85,0.8345519007563865,0.01073704871883449,497.80663740000455,3,3,225,10
8,0.8343060021383785,0.016218872733558543,506.31275109999115,3,3,225,11
43,0.8329785055117381,0.011996072855269806,195.80978710003546,3,3,225,12
