iter,n_resources,rank_test_score,candidate_id,mean_test_score,std_test_score,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
3,675,1,78,0.9055338475496756,0.006799820750698403,467.64122490002774,3,gini,80.0,5,1,0.2,False
3,675,2,67,0.9052313284312653,0.009010989218505724,234.4292525999481,3,gini,40.0,5,1,0.1,False
3,675,3,63,0.9046932864939216,0.0042271683549217525,460.2244587999303,3,gini,80.0,10,1,0.2,False
3,675,4,53,0.902890070794783,0.006016465118276595,333.2601137999445,3,entropy,20.0,2,1,0.1,False
