stage,n_estimators,rank,candidate_id,mean_macro_f1,sd_macro_f1,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,25,1,2,0.8259554543374867,0.008884997408234062,48.104607799992664,3,entropy,,2,4,0.1,False
1,25,2,43,0.8259554543374867,0.008884997408234062,43.17228089997661,3,entropy,80.0,5,4,0.1,False
1,25,3,74,0.8201779888181617,0.006393439377597074,46.273190499981865,3,entropy,,10,1,0.1,False
1,25,4,59,0.8194896957161077,0.0013506437960536313,27.61426899995422,3,gini,,2,4,0.1,False
1,25,5,95,0.8191672196625642,0.0038263710025922904,14.843576399987796,3,gini,40.0,2,2,0.05,False
1,25,6,28,0.8191082007022947,0.0054698578321981635,67.86930540003232,3,gini,80.0,2,1,0.2,False
1,25,7,96,0.8183967149126293,0.00038203717388527424,27.068678399984492,3,gini,20.0,5,4,0.1,False
1,25,8,63,0.8179853774076037,0.003732312190450234,45.78088870001375,3,entropy,,5,1,0.1,False
1,25,9,84,0.8179108893765222,0.005870231353204927,30.395410400029505,3,gini,,10,1,0.1,False
1,25,10,7,0.8177796701679149,0.0038718222559650933,49.44803899998078,3,entropy,40.0,5,1,0.1,False
1,25,11,92,0.81523524337215,0.011921425601180822,28.512131900002714,3,gini,20.0,5,2,0.1,False
1,25,12,44,0.8140159311498149,0.007625359047633985,13.974292899976717,3,gini,,10,4,0.05,False
1,25,13,70,0.8139501431690879,0.007833204823225677,55.0510867999692,3,gini,,10,4,0.2,False
1,25,14,99,0.813512287233498,0.0026614662131882166,22.88837689999491,3,entropy,,10,1,0.05,False
1,25,15,18,0.8135085675504445,0.005418840764277362,32.53411229996709,3,gini,40.0,10,2,0.1,False
1,25,16,78,0.8134638188909405,0.00929958759205331,15.135011800011853,3,gini,,5,2,0.05,False
1,25,17,60,0.8129963131756054,0.0031210350176226285,45.61275780000142,3,entropy,80.0,20,2,0.1,False
1,25,18,23,0.812506071918781,0.0036205152205082895,24.498905600019498,3,entropy,20.0,10,4,0.05,False
1,25,19,8,0.811685580232426,0.018690762978838954,95.46459730001516,3,entropy,80.0,10,4,0.2,False
1,25,20,17,0.8088027463710032,0.011199107040725246,90.91943710003397,3,entropy,80.0,5,8,0.2,False
1,25,21,20,0.8088027463710032,0.011199107040725246,87.6886723000207,3,entropy,,5,8,0.2,False
1,25,22,89,0.8087621752207711,0.00610146888384041,90.94812790001743,3,entropy,40.0,10,1,0.2,False
1,25,23,85,0.8084407918956594,0.012090049189090719,6.7542832999897655,3,gini,40.0,20,1,0.02,False
1,25,24,19,0.8075099704005885,0.008444380820565481,58.704264199972386,3,gini,40.0,2,4,0.2,False
1,25,25,34,0.8066748098979243,0.007223176511046865,23.622448699985398,3,entropy,40.0,20,1,0.05,False
1,25,26,66,0.8054026320905562,0.002807004948038254,12.800032099999953,3,gini,20.0,10,8,0.05,False
1,25,27,65,0.8051039237499925,0.009264948692166883,3.9000775000313297,3,gini,80.0,2,4,sqrt,False
1,25,28,76,0.8045909322382053,0.00763051563056961,25.77794190001441,3,gini,60.0,20,8,0.1,False
1,25,29,56,0.8044019800520426,0.006643392703430783,21.73299330001464,3,entropy,,2,8,0.05,False
1,25,30,47,0.8031112723346072,0.0028778643042733404,14.550755500007654,3,entropy,80.0,10,2,0.05,True
1,25,31,5,0.8029439198941781,0.006787580864871448,9.973680599970976,3,entropy,20.0,10,4,0.02,False
1,25,32,71,0.80211316319939,0.009208128887419365,14.105677500017919,3,entropy,80.0,2,2,0.05,True
1,25,33,82,0.8020907659425451,0.006268688804374921,9.739816599991173,3,entropy,20.0,5,4,0.02,False
1,25,34,52,0.8017227274856276,0.009640453590339427,4.362184999976307,3,gini,20.0,10,2,sqrt,False
1,25,35,29,0.8008528261554805,0.01112630771788178,9.675642299989704,3,entropy,,20,8,0.02,False
1,25,36,55,0.8008528261554805,0.01112630771788178,8.999183499981882,3,entropy,60.0,20,8,0.02,False
1,25,37,11,0.8007780647598405,0.014473189744457117,18.665711200010264,3,gini,60.0,5,4,0.1,True
1,25,38,39,0.8004475612264327,0.006666619549729154,9.761461299989605,3,entropy,80.0,20,2,0.02,False
1,25,39,38,0.7999691654327373,0.00949185145301879,33.39670139999362,3,gini,80.0,10,4,0.2,True
1,25,40,27,0.7998855095766996,0.007431269247575005,38.26422079995973,3,gini,,5,1,0.2,True
1,25,41,97,0.7997655004533334,0.002761549250876061,24.578638700040756,3,entropy,60.0,20,8,0.1,True
1,25,42,98,0.7993534723523211,0.0068487379986690725,5.473391799983801,3,gini,40.0,5,4,0.02,False
1,25,43,13,0.7988249672063361,0.003440382332309424,10.764641499961726,3,entropy,60.0,20,4,0.02,False
1,25,44,46,0.7985744714782612,0.005547699862921883,54.09565100001055,3,entropy,20.0,10,2,0.2,True
1,25,45,94,0.7984189858605747,0.009652302356822186,8.963956899999175,3,gini,,20,1,0.05,True
1,25,46,62,0.7978535543398508,0.01270813222417095,36.34557470001164,3,gini,,10,1,0.2,True
1,25,47,4,0.7975773425669352,0.010575130716971231,35.095398500037845,3,gini,,5,4,0.2,True
1,25,48,31,0.7975043109233267,0.006120857984718065,6.902075699967099,3,entropy,40.0,10,2,sqrt,False
1,25,49,33,0.7975043109233267,0.006120857984718065,6.885654000012437,3,entropy,,10,2,sqrt,False
1,25,50,57,0.7968567056782544,0.006778268174887956,4.168366500001866,3,gini,40.0,20,2,sqrt,False
1,25,51,67,0.7966054313469417,0.006367257499885836,10.45950980001362,3,entropy,60.0,10,1,0.02,False
1,25,52,87,0.7966054313469417,0.006367257499885836,10.460171300015645,3,entropy,80.0,10,1,0.02,False
1,25,53,3,0.7962337873885629,0.01165605926634653,8.47194980000495,3,gini,40.0,2,8,0.05,True
1,25,54,40,0.7955286188417232,0.002382322862800024,14.566639899974689,3,entropy,40.0,5,2,0.05,True
1,25,55,21,0.7949620143912922,0.0040116071423034584,11.385733400034951,3,gini,40.0,5,2,0.05,True
1,25,56,32,0.794685115836212,0.0043348670006054975,14.158427799964556,3,entropy,,10,4,0.05,True
1,25,57,16,0.7937476010383211,0.005409858555491189,15.506688499997836,3,gini,60.0,2,8,0.1,True
1,25,58,77,0.79347985177241,0.0029447375120417486,53.10251920000883,3,entropy,80.0,10,4,0.2,True
1,25,59,26,0.7921941142395648,0.0075515173797704145,49.830602400004864,3,entropy,80.0,10,8,0.2,True
1,25,60,36,0.7916027157165634,0.0019635959142251477,6.531311900005676,3,entropy,60.0,5,4,sqrt,False
1,25,61,93,0.7916027157165634,0.0019635959142251477,6.329313700000057,3,entropy,60.0,2,4,sqrt,False
1,25,62,51,0.7914370430200881,0.005765706979331562,34.8855506000109,3,gini,60.0,20,2,0.2,True
1,25,63,49,0.7882376011128653,0.007121750505445561,6.7478725999826565,3,entropy,60.0,20,1,sqrt,False
1,25,64,10,0.7877717168937401,0.01149830655634979,13.794765899976483,3,entropy,80.0,10,8,0.05,True
1,25,65,54,0.7855751121999531,0.001853314941406149,6.411498199973721,3,entropy,40.0,10,1,0.02,True
1,25,66,75,0.7855290848469605,0.01086039556128144,4.21342369998456,3,gini,20.0,2,2,0.02,True
1,25,67,35,0.7844575757443467,0.008278858941042374,3.0679503999417648,3,gini,40.0,5,1,sqrt,True
1,25,68,61,0.7844211066913701,0.008183600054656596,5.954425800009631,3,entropy,60.0,10,4,0.02,True
1,25,69,48,0.7842909922211186,0.0071813911593337785,4.28186290001031,3,gini,,10,1,0.02,True
1,25,70,22,0.7837503650524992,0.007662891179559337,4.610547799995402,3,gini,80.0,2,1,0.02,True
1,25,71,14,0.7828570541603755,0.005667019234556535,3.9689065999991726,3,gini,60.0,20,4,0.02,True
1,25,72,12,0.7806998646994971,0.009874139878575796,3.8866807999438606,3,gini,40.0,10,8,0.02,True
1,25,73,30,0.7805247833972896,0.01727465601552137,2.9687106999917887,3,gini,80.0,10,2,sqrt,True
1,25,74,88,0.7791077949777029,0.006607259175670912,4.198421799985226,3,gini,40.0,5,1,0.02,True
1,25,75,37,0.7781310093062416,0.011317959479727982,2.6021941999788396,3,gini,20.0,20,4,sqrt,True
1,25,76,91,0.777742460736329,0.017370395766996092,2.1335957999981474,3,gini,,2,8,sqrt,True
1,25,77,58,0.7772221905390042,0.004416988786504127,4.201574100035941,3,gini,60.0,5,2,0.02,True
1,25,78,42,0.7765290854968118,0.008207904501933552,3.064869399968302,3,gini,40.0,20,1,sqrt,True
1,25,79,24,0.7752832374828315,0.00664579848704421,3.1170191999990493,3,gini,40.0,10,1,sqrt,True
1,25,80,68,0.7751829179602815,0.0018264497825057856,2.719736200000625,3,gini,20.0,2,4,sqrt,True
