,precision,recall,f1-score,support
glioma,0.98046875,0.8964285714285715,0.9365671641791045,280.0
meningioma,0.8833333333333333,0.9464285714285714,0.9137931034482759,280.0
notumor,0.9927536231884058,0.9785714285714285,0.9856115107913669,280.0
pituitary,0.9583333333333334,0.9857142857142858,0.971830985915493,280.0
accuracy,0.9517857142857142,0.9517857142857142,0.9517857142857142,0.9517857142857142
macro avg,0.9537222599637681,0.9517857142857143,0.9519506910835601,1120.0
weighted avg,0.9537222599637681,0.9517857142857142,0.95195069108356,1120.0
