,precision,recall,f1-score,support
glioma,0.9628252788104089,0.925,0.9435336976320583,280.0
meningioma,0.8736842105263158,0.8892857142857142,0.8814159292035398,280.0
notumor,0.9712230215827338,0.9642857142857143,0.967741935483871,280.0
pituitary,0.9409722222222222,0.9678571428571429,0.954225352112676,280.0
accuracy,0.9366071428571429,0.9366071428571429,0.9366071428571429,0.9366071428571429
macro avg,0.9371761832854202,0.9366071428571429,0.9367292286080363,1120.0
weighted avg,0.9371761832854203,0.9366071428571429,0.9367292286080365,1120.0
