stage_epoch,stage,accuracy,loss
1,frozen_head,0.7529017925262451,0.6355220079421997
2,frozen_head,0.8620535731315613,0.3626268804073334
3,frozen_head,0.8890625238418579,0.3020392954349518
4,frozen_head,0.9026785492897034,0.2645946145057678
5,frozen_head,0.9098214507102966,0.2408929020166397
6,frozen_head,0.917187511920929,0.2247021347284317
7,frozen_head,0.9160714149475098,0.21528883278369904
8,frozen_head,0.9169642925262451,0.21222026646137238
9,frozen_head,0.9254464507102966,0.20081131160259247
10,frozen_head,0.9312499761581421,0.18751032650470734
11,frozen_head,0.9310267567634583,0.17884951829910278
12,frozen_head,0.9323660731315613,0.17646411061286926
13,frozen_head,0.9348214268684387,0.1822461038827896
14,frozen_head,0.934374988079071,0.17698928713798523
1,fine_tuning,0.9444196224212646,0.15938924252986908
