rank,model,repeat,fold,configuration_number,configuration_id,batch_size,head_learning_rate,fine_tune_learning_rate,selected_stage,selected_epoch,selected_validation_loss,stage_1_best_epoch,stage_1_best_validation_loss,stage_2_best_epoch,stage_2_best_validation_loss,internal_accuracy,internal_balanced_accuracy,internal_macro_precision,internal_macro_recall,internal_macro_f1,internal_log_loss,stage_1_training_seconds,stage_2_training_seconds,total_candidate_seconds,trainable_backbone_layers
1,EfficientNetB0,7,2,5,config_05_bs16_headlr1e-03_ftlr1e-05,16,0.001,1e-05,fine_tuning,20,0.15528090298175812,15,0.24110448360443115,20,0.15528090298175812,0.9486607142857143,0.9486607142857142,0.948814172399286,0.9486607142857142,0.9485950501585176,0.15528089730639152,81.44079507400056,115.15687305000029,200.0884826549991,13
2,EfficientNetB0,7,2,7,config_07_bs16_headlr3e-04_ftlr1e-05,16,0.0003,1e-05,fine_tuning,20,0.17359568178653717,15,0.3059120178222656,20,0.17359568178653717,0.9419642857142857,0.9419642857142857,0.9418331374853115,0.9419642857142857,0.9418423184054049,0.17359569551387288,82.93865528600145,117.83925675899991,204.29013646099884,13
3,EfficientNetB0,7,2,3,config_03_bs8_headlr3e-04_ftlr1e-05,8,0.0003,1e-05,fine_tuning,20,0.1779906451702118,15,0.28798913955688477,20,0.1779906451702118,0.9397321428571429,0.9397321428571428,0.9398562548482254,0.9397321428571428,0.9393576107086836,0.1779906490379359,123.92768319099923,185.43912383099996,313.0584757969991,13
4,EfficientNetB0,7,2,1,config_01_bs8_headlr1e-03_ftlr1e-05,8,0.001,1e-05,fine_tuning,16,0.16640476882457733,15,0.23541080951690674,16,0.16640476882457733,0.9375,0.9375,0.9376864182033122,0.9375,0.9372423263690763,0.16640477831427383,122.11523502000091,175.60485600399988,309.56075553700066,13
5,EfficientNetB0,7,2,9,config_09_bs32_headlr1e-03_ftlr1e-05,32,0.001,1e-05,fine_tuning,20,0.1736777126789093,15,0.25842806696891785,20,0.1736777126789093,0.9352678571428571,0.9352678571428572,0.9353329036644964,0.9352678571428572,0.9350317851338584,0.17367770397669058,67.70692629899895,90.773758972,161.87918789099967,13
6,EfficientNetB0,7,2,2,config_02_bs8_headlr1e-03_ftlr3e-06,8,0.001,3e-06,fine_tuning,17,0.20349633693695068,15,0.23541080951690674,17,0.20349633693695068,0.9330357142857143,0.9330357142857142,0.933368104476902,0.9330357142857142,0.9327295062171382,0.20349630078142553,122.27726694000012,179.58492061400102,305.5628011839999,13
7,EfficientNetB0,7,2,6,config_06_bs16_headlr1e-03_ftlr3e-06,16,0.001,3e-06,fine_tuning,20,0.20239301025867462,15,0.24110448360443115,20,0.20239301025867462,0.9263392857142857,0.9263392857142858,0.9274406694899333,0.9263392857142858,0.9262221338430633,0.20239300506980973,81.1619530579992,117.50596375500027,202.22123572300006,13
8,EfficientNetB0,7,2,10,config_10_bs32_headlr1e-03_ftlr3e-06,32,0.001,3e-06,fine_tuning,20,0.2184525728225708,15,0.25842806696891785,20,0.2184525728225708,0.9263392857142857,0.9263392857142857,0.9264891897756864,0.9263392857142857,0.926077518662032,0.21845256398326146,67.85014003200013,91.92535216900069,163.21882738500062,13
9,EfficientNetB0,7,2,4,config_04_bs8_headlr3e-04_ftlr3e-06,8,0.0003,3e-06,fine_tuning,20,0.21433809399604797,15,0.28798913955688477,20,0.21433809399604797,0.9241071428571429,0.9241071428571428,0.9241401284333528,0.9241071428571428,0.9238910543729366,0.2143380853229529,123.45412356499946,182.94019859199943,310.0491548200007,13
10,EfficientNetB0,7,2,11,config_11_bs32_headlr3e-04_ftlr1e-05,32,0.0003,1e-05,fine_tuning,20,0.20294654369354248,15,0.3313417434692383,20,0.20294654369354248,0.9241071428571429,0.9241071428571429,0.9240034614534653,0.9241071428571429,0.9237690120176676,0.20294653200211357,67.90368727900022,93.2406916079999,164.6196801469996,13
11,EfficientNetB0,7,2,8,config_08_bs16_headlr3e-04_ftlr3e-06,16,0.0003,3e-06,fine_tuning,20,0.24042125046253204,15,0.3059120178222656,20,0.24042125046253204,0.90625,0.90625,0.9061121318546697,0.90625,0.9057741132053059,0.2404212536273966,83.18689794700003,118.40524831099901,205.1032010199997,13
12,EfficientNetB0,7,2,12,config_12_bs32_headlr3e-04_ftlr3e-06,32,0.0003,3e-06,fine_tuning,20,0.2692924439907074,15,0.3313417434692383,20,0.2692924439907074,0.8995535714285714,0.8995535714285714,0.9014669723792357,0.8995535714285714,0.8997573508273707,0.26929245713623245,67.96498974300084,93.19526552299976,164.62306631200045,13
