stage,n_estimators,rank,candidate_id,mean_macro_f1,sd_macro_f1,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
2,75,1,61,0.8400094411133372,0.014656687486509999,41.83121370000299,3,gini,,10,2,0.05,False
2,75,2,12,0.8365528355454402,0.0036180861575152035,38.79922489996534,3,gini,,2,4,0.05,False
2,75,3,87,0.8345210606397483,0.008719021820633343,43.652552400075365,3,gini,60.0,2,1,0.05,False
2,75,4,8,0.8330699006744059,0.00800266554006042,127.86219080002047,3,entropy,40.0,10,1,0.1,False
2,75,5,48,0.8325457713297123,0.006999309340685339,251.25412529997993,3,entropy,60.0,2,4,0.2,False
2,75,6,63,0.8320724933546823,0.005207560348738319,168.0330281999777,3,gini,20.0,5,1,0.2,False
2,75,7,83,0.8316473038777374,0.013343100269785363,16.127504499978386,3,gini,60.0,2,4,0.02,False
2,75,8,3,0.8308588933023323,0.00830761333934506,11.34148479992291,3,gini,80.0,10,1,sqrt,False
2,75,9,25,0.8296045886348269,0.006988690338999118,127.29397659999086,3,entropy,60.0,20,1,0.1,False
2,75,10,1,0.8293159333479073,0.00849117686829071,86.01297860004706,3,gini,60.0,10,1,0.1,False
2,75,11,85,0.8293159333479073,0.00849117686829071,85.76259209995624,3,gini,80.0,10,1,0.1,False
2,75,12,13,0.8287527835465115,0.006465163445323379,129.47275580005953,3,entropy,40.0,2,2,0.1,False
