stage,n_estimators,rank,candidate_id,mean_macro_f1,sd_macro_f1,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,25,1,33,0.8234704891908319,0.0047337075748126135,63.86978550002095,3,gini,,5,1,0.2,False
1,25,2,6,0.8227561400523119,0.004620146067544625,48.371282499982044,3,entropy,80.0,2,1,0.1,False
1,25,3,77,0.8201124880537161,0.00958593648894662,63.12635859998409,3,gini,20.0,2,1,0.2,False
1,25,4,78,0.8196369650213885,0.000945255244910963,16.018337599991355,3,gini,80.0,5,1,0.05,False
1,25,5,58,0.8158161995708412,0.005033627854097888,91.1806474000332,3,entropy,60.0,5,4,0.2,False
1,25,6,43,0.8148506362637883,0.008247559189153722,96.15554770003655,3,entropy,60.0,2,1,0.2,False
1,25,7,29,0.8144678632760739,0.0027536845638373134,96.21366750003654,3,entropy,,20,2,0.2,False
1,25,8,82,0.8138345337999655,0.010470388349766078,94.79110770000261,3,entropy,40.0,5,2,0.2,False
1,25,9,18,0.8128809878580731,0.00121037874408094,86.11636329998146,3,entropy,40.0,20,8,0.2,False
1,25,10,59,0.8124803215734117,0.005000993307429659,15.616890800010879,3,gini,,5,2,0.05,False
1,25,11,24,0.8119983686024451,0.004825523539939219,26.350345700018806,3,entropy,,10,4,0.05,False
1,25,12,2,0.8118121100204044,0.004684180251828921,13.860904200002551,3,gini,20.0,20,4,0.05,False
1,25,13,83,0.8099332790233925,0.005491659019886412,30.28780670001288,3,gini,,20,1,0.1,False
1,25,14,7,0.8089656375532401,0.012946954084459186,22.205381500010844,3,entropy,60.0,5,8,0.05,False
1,25,15,60,0.8084740034850397,0.01122847873885745,51.33036419999553,3,gini,,5,8,0.2,False
1,25,16,73,0.8084740034850397,0.01122847873885745,51.62518289999571,3,gini,40.0,2,8,0.2,False
1,25,17,62,0.8083733600822441,0.005192972315125005,25.6215028000006,3,gini,40.0,5,8,0.1,False
1,25,18,95,0.8083214599525347,0.003586397241185822,23.92858269996941,3,entropy,80.0,5,2,0.05,False
1,25,19,31,0.8080465554592969,0.007634713040862374,24.520193600008497,3,entropy,,20,4,0.05,False
1,25,20,48,0.8079620163418187,0.01193480081268873,23.76470250004786,3,entropy,,20,2,0.05,False
1,25,21,23,0.8068674921353224,0.001737853675663834,30.781282399984775,3,entropy,80.0,10,1,0.1,True
1,25,22,74,0.8055064091857456,0.002836179040218058,14.423631799960276,3,entropy,80.0,20,2,0.05,True
1,25,23,99,0.8055064091857456,0.002836179040218058,14.638686999998754,3,entropy,20.0,20,2,0.05,True
1,25,24,64,0.8052650572872865,0.005851632050569206,28.960422299976926,3,entropy,,10,2,0.1,True
1,25,25,30,0.8046625592562072,0.00946338406494847,10.368061000015587,3,entropy,20.0,10,4,0.02,False
1,25,26,27,0.8043931408958448,0.013444371592534006,59.9372453999531,3,gini,,2,4,0.2,False
1,25,27,91,0.803550008646671,0.0027677652744200446,17.459709099988686,3,gini,,10,4,0.1,True
1,25,28,71,0.8035429367270636,0.01212399719875884,6.212637399992673,3,gini,,5,4,0.02,False
1,25,29,75,0.8033628732309795,0.002966350165938325,34.56897069999832,3,gini,60.0,5,4,0.2,True
1,25,30,17,0.8031130955068689,0.008276589611478745,13.627661499980604,3,gini,80.0,20,8,0.05,False
1,25,31,87,0.8031130955068689,0.008276589611478745,12.809060600004159,3,gini,60.0,20,8,0.05,False
1,25,32,19,0.801895464201604,0.00924103916753461,38.29310329997679,3,gini,80.0,5,2,0.2,True
1,25,33,52,0.8018012196271137,0.004013079396105427,10.323157199978596,3,entropy,60.0,10,2,0.02,False
1,25,34,11,0.8014151631635329,0.0035110228121607657,7.833792799996445,3,gini,40.0,10,8,0.05,True
1,25,35,93,0.8014151631635329,0.0035110228121607657,7.4486373999970965,3,gini,20.0,10,8,0.05,True
1,25,36,25,0.8000436550070039,0.012504562431607524,54.94153019998339,3,entropy,20.0,2,1,0.2,True
1,25,37,84,0.800011125122808,0.0042269786102235715,28.94447079996462,3,entropy,,5,2,0.1,True
1,25,38,21,0.7996316676732036,0.005187380025708801,10.23829699997441,3,gini,80.0,20,1,0.05,True
1,25,39,96,0.7987121197701145,0.005365150953455189,4.416879099997459,3,gini,40.0,20,1,sqrt,False
1,25,40,70,0.7983172503513387,0.009896080535617201,15.345520100003341,3,entropy,80.0,2,1,0.05,True
1,25,41,72,0.7982789883528438,0.0011606745184567975,15.365858299977845,3,gini,40.0,2,8,0.1,True
1,25,42,85,0.7980552882680607,0.008962922962056842,9.331717299995944,3,gini,20.0,20,2,0.05,True
1,25,43,13,0.7979014877399706,0.0011028057295810604,15.04710470000282,3,entropy,,10,2,0.05,True
1,25,44,40,0.7967425914019145,0.014332070026960419,4.193670899985591,3,gini,40.0,2,4,sqrt,False
1,25,45,36,0.7966230924406865,0.0015536736861431976,38.365900000033434,3,gini,40.0,5,1,0.2,True
1,25,46,9,0.7960210310023711,0.006024157555360671,3.9294140999845695,3,gini,60.0,20,8,sqrt,False
1,25,47,38,0.7958077515826333,0.008441599147866068,51.191146400000434,3,entropy,40.0,2,8,0.2,True
1,25,48,57,0.7958077515826333,0.008441599147866068,50.497411800024565,3,entropy,40.0,5,8,0.2,True
1,25,49,68,0.7950284568377285,0.0007874526822848433,14.235300900007132,3,entropy,20.0,20,4,0.05,True
1,25,50,45,0.7948405662326893,0.005807074408443976,56.15436040004715,3,entropy,80.0,2,2,0.2,True
1,25,51,12,0.794493613277342,0.007473814935312608,5.889897400018526,3,gini,20.0,5,8,0.02,False
1,25,52,47,0.7939102488723323,0.005293163351304276,6.593655899981968,3,gini,80.0,20,1,0.02,False
1,25,53,5,0.7934223125085902,0.004943392171851688,52.235394599993015,3,entropy,80.0,10,4,0.2,True
1,25,54,92,0.7925493568906576,0.007243668463620887,3.7458241999847814,3,gini,,2,8,sqrt,False
1,25,55,67,0.7922117519978812,0.010727793807993236,54.62875219999114,3,entropy,80.0,20,4,0.2,True
1,25,56,89,0.7922117519978812,0.010727793807993236,53.529662400018424,3,entropy,60.0,20,4,0.2,True
1,25,57,79,0.7922011178372558,0.004166708762836455,10.51538250001613,3,entropy,60.0,5,1,0.02,False
1,25,58,34,0.7916061652470908,0.004449019812903461,10.555542899965076,3,entropy,20.0,5,1,0.02,False
1,25,59,86,0.7915894788458835,0.0028359429230470907,14.395701599976746,3,entropy,60.0,5,4,0.05,True
1,25,60,35,0.7909405071523391,0.00820568789258036,4.825199199985946,3,gini,80.0,10,1,sqrt,False
1,25,61,98,0.7908312162426779,0.006521891400061093,7.215895900008036,3,entropy,40.0,5,1,sqrt,False
1,25,62,49,0.7903080056711005,0.006756368962816307,34.2673044000112,3,gini,20.0,20,4,0.2,True
1,25,63,61,0.7901579611875222,0.008817654217809914,6.240203999972437,3,entropy,80.0,20,8,sqrt,False
1,25,64,54,0.7886096811591287,0.0066123809649465595,30.14547290003975,3,gini,60.0,20,8,0.2,True
1,25,65,28,0.788069593705163,0.01131140615140971,7.275922000000719,3,entropy,40.0,5,2,sqrt,False
1,25,66,39,0.7877401659248943,0.0031723854285247845,4.088456800003769,3,gini,20.0,20,2,0.02,True
1,25,67,97,0.7869701529232777,0.006757270702448275,25.907367600040743,3,entropy,,5,8,0.1,True
1,25,68,41,0.7864127195795788,0.007246294425556004,4.063892600010149,3,gini,,20,2,0.02,True
1,25,69,55,0.7861406423085278,0.005692509160865942,6.532555500016315,3,entropy,80.0,20,4,sqrt,False
1,25,70,26,0.78535424227725,0.018095363046793045,6.652484200021718,3,entropy,60.0,5,1,0.02,True
1,25,71,66,0.78535424227725,0.018095363046793045,6.579746800009161,3,entropy,80.0,5,1,0.02,True
1,25,72,100,0.7853221874928223,0.010637480273979648,5.691081299999496,3,entropy,40.0,20,8,0.02,True
1,25,73,90,0.7842169455917376,0.013967664722581714,6.180162000004202,3,entropy,60.0,10,8,sqrt,False
1,25,74,94,0.78382764770432,0.0006550050798782219,6.24856879998697,3,entropy,40.0,5,4,0.02,True
1,25,75,76,0.7832194763647123,0.013779855292521282,6.414975600026082,3,entropy,20.0,20,1,0.02,True
1,25,76,1,0.782993471148114,0.0034137401510900937,4.059141900012037,3,gini,60.0,10,4,0.02,True
1,25,77,37,0.7826445388072903,0.003828102952679543,3.8823900000425056,3,gini,20.0,10,4,0.02,True
1,25,78,22,0.7815617345120947,0.004112657966975936,4.7630228999769315,3,gini,80.0,2,1,0.02,True
1,25,79,69,0.781134645090364,0.007894972568683767,4.1894948999688495,3,gini,80.0,20,1,0.02,True
1,25,80,8,0.778824105629512,0.007358269021048798,7.58331369998632,3,entropy,80.0,2,8,0.02,True
1,25,81,15,0.778824105629512,0.007358269021048798,6.378378800000064,3,entropy,20.0,2,8,0.02,True
1,25,82,16,0.778824105629512,0.007358269021048798,6.033441100007622,3,entropy,,2,8,0.02,True
1,25,83,4,0.7781793843021823,0.009539212423441306,3.993797299975995,3,gini,20.0,5,4,0.02,True
1,25,84,44,0.7750525321458049,0.006119583420618778,4.175095400016289,3,entropy,60.0,20,4,sqrt,True
1,25,85,10,0.7748485295934658,0.004370712518424099,4.772485699970275,3,entropy,80.0,2,1,sqrt,True
1,25,86,42,0.7745509485974457,0.011828328155891391,6.323703200003365,3,entropy,40.0,20,2,0.02,True
1,25,87,56,0.7745509485974457,0.011828328155891391,6.489535300002899,3,entropy,20.0,20,2,0.02,True
1,25,88,53,0.7737994444906837,0.008072282436857887,2.473638999974355,3,gini,60.0,2,8,sqrt,True
1,25,89,14,0.7731084680317046,0.0072430855536265906,4.217722900008084,3,entropy,20.0,5,8,sqrt,True
1,25,90,46,0.7722167084313095,0.013150519452881454,4.18147609999869,3,entropy,60.0,2,4,sqrt,True
1,25,91,32,0.7712062128452192,0.004333737916891988,3.107273499976145,3,gini,60.0,2,1,sqrt,True
1,25,92,20,0.7692363986966962,0.0050221523909333285,1.5786194000393152,3,entropy,60.0,20,1,log2,False
1,25,93,80,0.758923929056059,0.0169041880565356,1.1681820999947377,3,gini,40.0,20,1,log2,False
1,25,94,65,0.7585977839742637,0.00720980555563928,1.185258099983912,3,gini,80.0,5,2,log2,False
1,25,95,81,0.7547153792749978,0.010931879923752746,1.0222297000000253,3,gini,60.0,20,8,log2,False
1,25,96,88,0.7535487806471277,0.004516864518504069,1.646825000003446,3,entropy,20.0,5,4,log2,False
1,25,97,51,0.7526197919454624,0.00963906731568153,1.0905979000090156,3,gini,40.0,2,8,log2,False
1,25,98,3,0.7408185784630869,0.005934260421944729,0.9149755999969784,3,gini,,2,4,log2,True
1,25,99,50,0.7392648542631389,0.007273259057016328,0.9885680000297725,3,gini,80.0,2,2,log2,True
1,25,100,63,0.7348507026678973,0.005898711629604416,1.1718863999994937,3,entropy,80.0,5,2,log2,True
