stage_epoch,stage,accuracy,loss
1,frozen_head,0.7584821581840515,0.6344372630119324
2,frozen_head,0.8569196462631226,0.35939499735832214
3,frozen_head,0.887499988079071,0.3017433285713196
4,frozen_head,0.9046875238418579,0.2547038495540619
5,frozen_head,0.9075892567634583,0.2412385195493698
6,frozen_head,0.9160714149475098,0.22807709872722626
7,frozen_head,0.9252232313156128,0.2041160613298416
8,frozen_head,0.9279018044471741,0.1972612887620926
9,frozen_head,0.9241071343421936,0.20405840873718262
10,frozen_head,0.9292410612106323,0.18359605967998505
11,frozen_head,0.9319196343421936,0.1795470267534256
12,frozen_head,0.9352678656578064,0.16687056422233582
13,frozen_head,0.9357143044471741,0.16708241403102875
14,frozen_head,0.9332589507102966,0.17531999945640564
1,fine_tuning,0.9437500238418579,0.15021243691444397
2,fine_tuning,0.9761160612106323,0.06973863393068314
3,fine_tuning,0.9877232313156128,0.03689999133348465
4,fine_tuning,0.9915178418159485,0.025261512026190758
5,fine_tuning,0.9964285492897034,0.014482785947620869
6,fine_tuning,0.9979910850524902,0.007870069704949856
7,fine_tuning,0.996874988079071,0.010930093005299568
8,fine_tuning,0.9975446462631226,0.006716644857078791
