stage,n_estimators,rank,candidate_id,mean_macro_f1,sd_macro_f1,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
3,225,1,35,0.8461142561835366,0.010344544802447161,49.7089791999897,3,gini,60.0,5,1,0.02,False
3,225,2,17,0.8425954227285973,0.003897898649104986,122.98442630004138,3,gini,60.0,2,2,0.05,False
3,225,3,6,0.8420995672880336,0.010887273022472532,127.39692250004737,3,gini,40.0,10,1,0.05,False
3,225,4,36,0.8412960312063283,0.005395685680879448,243.14939020003658,3,gini,20.0,5,2,0.1,False
