stage_epoch,stage,accuracy,loss,val_accuracy,val_loss,learning_rate
1,frozen_head,0.7790178656578064,0.5658405423164368,0.8415178656578064,0.36879801750183105,0.0010000000474974513
2,frozen_head,0.8563988208770752,0.37585124373435974,0.8928571343421936,0.3385488986968994,0.0010000000474974513
3,frozen_head,0.883184552192688,0.32023224234580994,0.8883928656578064,0.2845699191093445,0.0010000000474974513
4,frozen_head,0.8983134627342224,0.28258323669433594,0.8861607313156128,0.3087184727191925,0.0010000000474974513
5,frozen_head,0.903769850730896,0.26164504885673523,0.8973214030265808,0.30853042006492615,0.0010000000474974513
6,frozen_head,0.9285714030265808,0.18980304896831512,0.9084821343421936,0.24607089161872864,0.00020000000949949026
7,frozen_head,0.93129962682724,0.18916569650173187,0.8973214030265808,0.2719036340713501,0.00020000000949949026
8,frozen_head,0.9308035969734192,0.19496828317642212,0.9040178656578064,0.24406467378139496,0.00020000000949949026
9,frozen_head,0.933779776096344,0.1803097426891327,0.9174107313156128,0.23678593337535858,0.00020000000949949026
10,frozen_head,0.9298115372657776,0.18024352192878723,0.90625,0.24285967648029327,0.00020000000949949026
11,frozen_head,0.936259925365448,0.16997875273227692,0.9129464030265808,0.2277584820985794,0.00020000000949949026
12,frozen_head,0.9370039701461792,0.17082594335079193,0.921875,0.2185228019952774,0.00020000000949949026
13,frozen_head,0.9372519850730896,0.16432568430900574,0.9084821343421936,0.23426969349384308,0.00020000000949949026
14,frozen_head,0.9375,0.16512398421764374,0.9196428656578064,0.22631560266017914,0.00020000000949949026
15,frozen_head,0.944940447807312,0.15141654014587402,0.921875,0.22478137910366058,4.0000002627493814e-05
1,fine_tuning,0.9422122836112976,0.1622580587863922,0.9196428656578064,0.1955995112657547,3.000000106112566e-06
2,fine_tuning,0.9590773582458496,0.11005935817956924,0.9375,0.17303480207920074,3.000000106112566e-06
3,fine_tuning,0.9727182388305664,0.07543572038412094,0.9375,0.162977933883667,3.000000106112566e-06
4,fine_tuning,0.9823908805847168,0.05253474786877632,0.9397321343421936,0.15999093651771545,3.000000106112566e-06
5,fine_tuning,0.9913194179534912,0.03320908918976784,0.9419642686843872,0.15976975858211517,3.000000106112566e-06
6,fine_tuning,0.9930555820465088,0.023752693086862564,0.9575892686843872,0.12838032841682434,3.000000106112566e-06
7,fine_tuning,0.995039701461792,0.01540796272456646,0.953125,0.16196350753307343,3.000000106112566e-06
8,fine_tuning,0.9945436716079712,0.018660033121705055,0.9441964030265808,0.1366691291332245,3.000000106112566e-06
9,fine_tuning,0.9972718358039856,0.010289772413671017,0.953125,0.1448691189289093,6.000000212225132e-07
