stage_epoch,stage,accuracy,loss
1,frozen_head,0.7131696343421936,0.7633790969848633
2,frozen_head,0.8270089030265808,0.4959457516670227
3,frozen_head,0.846875011920929,0.4273460805416107
4,frozen_head,0.8569196462631226,0.39937856793403625
5,frozen_head,0.8683035969734192,0.3631172776222229
6,frozen_head,0.8783482313156128,0.34426212310791016
7,frozen_head,0.8776785731315613,0.3406062424182892
8,frozen_head,0.8843749761581421,0.32186856865882874
9,frozen_head,0.885937511920929,0.31650036573410034
10,frozen_head,0.8895089030265808,0.30768269300460815
11,frozen_head,0.8984375,0.29107481241226196
12,frozen_head,0.8939732313156128,0.28627637028694153
13,frozen_head,0.8997767567634583,0.28139758110046387
14,frozen_head,0.8968750238418579,0.2747734785079956
15,frozen_head,0.9008928537368774,0.2730939984321594
1,fine_tuning,0.9049107432365417,0.2591524124145508
2,fine_tuning,0.9075892567634583,0.2418476641178131
3,fine_tuning,0.910937488079071,0.23289263248443604
4,fine_tuning,0.9212053418159485,0.2111058086156845
5,fine_tuning,0.9292410612106323,0.19593417644500732
6,fine_tuning,0.9341517686843872,0.1893090456724167
7,fine_tuning,0.9375,0.17526347935199738
8,fine_tuning,0.9368303418159485,0.17334967851638794
9,fine_tuning,0.9410714507102966,0.16174538433551788
10,fine_tuning,0.9475446343421936,0.14964915812015533
11,fine_tuning,0.9428571462631226,0.14703567326068878
12,fine_tuning,0.9517857432365417,0.13180480897426605
13,fine_tuning,0.9533482193946838,0.13159357011318207
14,fine_tuning,0.9558035731315613,0.12415897101163864
15,fine_tuning,0.9582589268684387,0.11802542209625244
16,fine_tuning,0.964062511920929,0.10777653008699417
17,fine_tuning,0.9622767567634583,0.10547200590372086
18,fine_tuning,0.9645089507102966,0.09832358360290527
19,fine_tuning,0.9698660969734192,0.09158031642436981
