,precision,recall,f1-score,support
glioma,0.9440559440559441,0.9642857142857143,0.9540636042402827,280.0
meningioma,0.9345454545454546,0.9178571428571428,0.9261261261261261,280.0
notumor,0.9963369963369964,0.9714285714285714,0.9837251356238698,280.0
pituitary,0.965034965034965,0.9857142857142858,0.9752650176678446,280.0
accuracy,0.9598214285714286,0.9598214285714286,0.9598214285714286,0.9598214285714286
macro avg,0.95999333999334,0.9598214285714286,0.9597949709145308,1120.0
weighted avg,0.9599933399933399,0.9598214285714286,0.9597949709145309,1120.0
