index,precision,recall,f1-score,support
glioma,0.8315789473684211,0.8464285714285714,0.8389380530973451,280.0
meningioma,0.8301886792452831,0.7857142857142857,0.8073394495412844,280.0
notumor,0.9571428571428572,0.9571428571428572,0.9571428571428572,280.0
pituitary,0.8655172413793103,0.8964285714285715,0.8807017543859649,280.0
accuracy,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714
macro avg,0.871106931283968,0.8714285714285714,0.8710305285418629,1120.0
weighted avg,0.8711069312839678,0.8714285714285714,0.8710305285418629,1120.0
