stage_epoch,stage,accuracy,loss
1,frozen_head,0.7779017686843872,0.5878825187683105
2,frozen_head,0.8620535731315613,0.36272338032722473
3,frozen_head,0.8850446343421936,0.30847465991973877
4,frozen_head,0.8968750238418579,0.2683720588684082
5,frozen_head,0.9073660969734192,0.2600018382072449
6,frozen_head,0.9089285731315613,0.2411014288663864
7,frozen_head,0.9158481955528259,0.22633953392505646
8,frozen_head,0.9189732074737549,0.22424349188804626
9,frozen_head,0.9200893044471741,0.21306098997592926
10,frozen_head,0.9209821224212646,0.20949701964855194
11,frozen_head,0.9238839149475098,0.204339861869812
12,frozen_head,0.9234374761581421,0.20394188165664673
1,fine_tuning,0.9392856955528259,0.16837048530578613
2,fine_tuning,0.9714285731315613,0.07873072475194931
3,fine_tuning,0.9879464507102966,0.03580259904265404
